;"strsplit(filename, ""\\."")[[1]][1]";header
1;T0810;810
2;T0810;620
3;T0810;ARCHILOQUE A., DEVAUX J.-P., LAVAGNE A. & MOUTTE P.
4;T0810;1977
5;T0810;Carte phytosociologique de HyŠres-Porquerolles au 1/50000 Š.- Rev. Biol. Ecol. Medit.,4 (4 sp‚cial):147-238.
6;T0810;225 Quercion ilicis
7;T0810;Quercetum suberis subass ericetosum subass nov.
8;T0810;III
9;T0810;14
10;T0810;17-30
11;T0810;7 M‚diterran‚en
12;T0810;16 France
13;T0810;4 Chenaie verte
14;T0810;G.Roux
15;T0811;811
16;T0811;620
17;T0811;ARCHILOQUE A., DEVAUX J.-P., LAVAGNE A. & MOUTTE P.
18;T0811;1977
19;T0811;Carte phytosociologique de HyŠres-Porquerolles au 1/50000 Š.- Rev. Biol. Ecol. Medit.,4 (4 sp‚cial):147-238.
20;T0811;234 Rosmarino-Ericion ?
21;T0811;Erico-Lavanduletum staechidis B.-B. 1931
22;T0811;V
23;T0811;15
24;T0811;janv-15
25;T0811;7 M‚diterran‚en
26;T0811;16 France
27;T0811;26 Maquis bas
28;T0811;G.Roux
29;T0812;812
30;T0812;620
31;T0812;ARCHILOQUE A., DEVAUX J.-P., LAVAGNE A. & MOUTTE P.
32;T0812;1977
33;T0812;Carte phytosociologique de HyŠres-Porquerolles au 1/50000 Š.- Rev. Biol. Ecol. Medit.,4 (4 sp‚cial):147-238.
34;T0812;439 Cistion medio-mediterraneum ?
35;T0812;X
36;T0812;IV
37;T0812;34
38;T0812;janv-34
39;T0812;7 M‚diterran‚en
40;T0812;16 France
41;T0812;26 Maquis haut
42;T0812;G.Roux
43;T0813;813
44;T0813;620
45;T0813;ARCHILOQUE A., DEVAUX J.-P., LAVAGNE A. & MOUTTE P.
46;T0813;1977
47;T0813;Carte phytosociologique de HyŠres-Porquerolles au 1/50000 Š.- Rev. Biol. Ecol. Medit.,4 (4 sp‚cial):147-238.
48;T0813;439 Cistion medio-mediterraneum ?
49;T0813;X
50;T0813;VI
51;T0813;23
52;T0813;janv-23
53;T0813;7 M‚diterran‚en
54;T0813;16 France
55;T0813;26 Maquis a cistes
56;T0813;G.Roux
57;T0814;814
58;T0814;620
59;T0814;ARCHILOQUE A., DEVAUX J.-P., LAVAGNE A. & MOUTTE P.
60;T0814;1977
61;T0814;Carte phytosociologique de HyŠres-Porquerolles au 1/50000 Š.- Rev. Biol. Ecol. Medit.,4 (4 sp‚cial):147-238.
62;T0814;225 Quercion ilicis
63;T0814;Quercetum ilicis gallo-provincialis
64;T0814;VII
65;T0814;22
66;T0814;janv-22
67;T0814;7 M‚diterran‚en
68;T0814;16 France
69;T0814;4 Chenaie verte
70;T0814;G.Roux
71;T0815;815
72;T0815;620
