"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T2306";"2306"
"2";"T2306";"  2 relev‚s"
"3";"T2306";"  5 esp‚ces"
"4";"T2307";"2307"
"5";"T2307";"  2 relev‚s"
"6";"T2307";"  5 esp‚ces"
"7";"T2308";"2308"
"8";"T2308";"  5 relev‚s"
"9";"T2308";" 10 esp‚ces"
"10";"T2309";"2309"
"11";"T2309";"  2 relev‚s"
"12";"T2309";"  4 esp‚ces"
"13";"T2310";"2310"
"14";"T2310";"  2 relev‚s"
"15";"T2310";"  8 esp‚ces"
"16";"T2311";"2311"
"17";"T2311";"  5 relev‚s"
"18";"T2311";" 16 esp‚ces"
"19";"T2312";"2312"
"20";"T2312";"X"
"21";"T2312";"QUEZEL P. & BARBERO M."
"22";"T2312";"1988"
"23";"T2312";"Signification phyto‚cologique et phytosociologique des peuplements naturels de Pin de Salzmann en France.- Ecologia Mediterranea, XIV, 1/2: 41-63."
"24";"T2312";"Pino uncinati-Rosion pimpinellifoliae"
"25";"T2312";"Roso pimpinellifoliae-Pinetum salzmanni"
"26";"T2312";"IV"
"27";"T2312";"10"
"28";"T2312";"1-10"
"29";"T2312";"PinŠde de Pin de Salzmann"
"30";"T2312";"M‚diterran‚en"
"31";"T2312";"France"
"32";"T2312";"Languedoc"
"33";"T2312";"G.Roux"
"34";"T2313";"2313"
"35";"T2313";"  3 relev‚s"
"36";"T2313";" 10 esp‚ces"
"37";"T2314";"2314"
"38";"T2314";"  7 relev‚s"
"39";"T2314";" 27 esp‚ces"
"40";"T2315";"2315"
"41";"T2315";" 24 relev‚s"
"42";"T2315";" 58 esp‚ces"
"43";"T2316";"2316"
"44";"T2316";" 30 relev‚s"
"45";"T2316";" 45 esp‚ces"
"46";"T2317";"2317"
"47";"T2317";"  4 relev‚s"
"48";"T2317";" 17 esp‚ces"
"49";"T2318";"2318"
"50";"T2318";"  6 relev‚s"
"51";"T2318";" 20 esp‚ces"
"52";"T2319";"2319"
"53";"T2319";" 11 relev‚s"
"54";"T2319";" 25 esp‚ces"
"55";"T2320";"2320"
"56";"T2320";" 14 relev‚s"
"57";"T2320";" 34 esp‚ces"
"58";"T2321";"2321"
"59";"T2321";" 13 relev‚s"
"60";"T2321";" 33 esp‚ces"
"61";"T2322";"2322"
"62";"T2322";"X"
"63";"T2322";"QUEZEL P. & BARBERO M."
"64";"T2322";"1988"
"65";"T2322";"Signification phyto‚cologique et phytosociologique des peuplements naturels de Pin de Salzmann en France.- Ecologia Mediterranea, XIV, 1/2: 41-63."
"66";"T2322";"Quercion ilicis"
"67";"T2322";"Piptathero-Quercetum ilicis"
"68";"T2322";"I"
"69";"T2322";"14"
"70";"T2322";"1-14"
"71";"T2322";"Ch‚naie verte"
"72";"T2322";"M‚diterran‚en"
"73";"T2322";"France"
"74";"T2322";"Languedoc"
"75";"T2322";"G.Roux"
"76";"T2323";"2323"
"77";"T2323";"X"
"78";"T2323";"QUEZEL P. & BARBERO M."
"79";"T2323";"1988"
"80";"T2323";"Signification phyto‚cologique et phytosociologique des peuplements naturels de Pin de Salzmann en France.- Ecologia Mediterranea, XIV, 1/2: 41-63."
"81";"T2323";"Rosmarino-Ericion"
"82";"T2323";"Rosmarino-Lithospermetum dolomiticum"
"83";"T2323";"II"
"84";"T2323";"15"
"85";"T2323";"1-15"
"86";"T2323";"Garrigue"
"87";"T2323";"M‚diterran‚en"
"88";"T2323";"France"
"89";"T2323";"Languedoc"
"90";"T2323";"G.Roux"
"91";"T2324";"2324"
"92";"T2324";"X"
"93";"T2324";"QUEZEL P. & BARBERO M."
"94";"T2324";"1988"
"95";"T2324";"Signification phyto‚cologique et phytosociologique des peuplements naturels de Pin de Salzmann en France.- Ecologia Mediterranea, XIV, 1/2: 41-63."
"96";"T2324";"Quercion pubescentis"
"97";"T2324";"Querco-Buxetum pinetosum salzmanni"
"98";"T2324";"III"
"99";"T2324";"14"
"100";"T2324";"1-14"
"101";"T2324";"Ch‚naie pubescente"
"102";"T2324";"M‚diterran‚en"
"103";"T2324";"France"
"104";"T2324";"Languedoc"
"105";"T2324";"G.Roux"
"106";"T2325";"2325"
"107";"T2325";"X"
"108";"T2325";"QUEZEL P. & BARBERO M."
"109";"T2325";"1988"
"110";"T2325";"Signification phyto‚cologique et phytosociologique des peuplements naturels de Pin de Salzmann en France.- Ecologia Mediterranea, XIV, 1/2: 41-63."
"111";"T2325";"Quercion ilicis"
"112";"T2325";"Asplenio-Quercetum ilicis pinetosum salzmanni"
"113";"T2325";"VI"
"114";"T2325";"22"
"115";"T2325";"1-22"
"116";"T2325";"Ch‚naie verte"
"117";"T2325";"M‚diterran‚en"
"118";"T2325";"France"
"119";"T2325";"Languedoc"
"120";"T2325";"G.Roux"
"121";"T2326";"2326"
"122";"T2326";"  2 relev‚s"
"123";"T2326";" 19 esp‚ces"
"124";"T2327";"2327"
"125";"T2327";"  2 relev‚s"
"126";"T2327";" 15 esp‚ces"
"127";"T2328";"2328"
"128";"T2328";" 15 relev‚s"
"129";"T2328";" 52 esp‚ces"
"130";"T2329";"2329"
"131";"T2329";"  6 relev‚s"
"132";"T2329";" 45 esp‚ces"
"133";"T2330";"2330"
"134";"T2330";"  6 relev‚s"
"135";"T2330";" 35 esp‚ces"
"136";"T2331";"2331"
"137";"T2331";"KRAUSCH H.D."
"138";"T2331";"Trapetum natantis"
"139";"T2331";"288 1"
"140";"T2331";"1 relev‚"
"141";"T2331";"3 esp‚ces"
"142";"T2331";"A/D G.Roux"
"143";"T2332";"2332"
"144";"T2332";"KRAUSCH H.D."
"145";"T2332";"1965"
"146";"T2332";"Vallisneria spiralis-Ceratiphyllum platyacanthum -Gesellsch."
"147";"T2332";"IV 1-2"
"148";"T2332";"2 relev‚s"
"149";"T2332";"9 esp‚ces"
"150";"T2332";"A/D G.Roux"
"151";"T2333";"2333"
"152";"T2333";"KRAUSCH H.D."
"153";"T2333";"1965"
"154";"T2333";"Myriophyllo-Nupharetum"
"155";"T2333";"V 1-7"
"156";"T2333";"7 relev‚s"
"157";"T2333";"17 esp‚ces"
"158";"T2333";"A/D & correction G.Roux"
"159";"T2334";"2334"
"160";"T2334";"KRAUSCH H.D."
"161";"T2334";"1965"
"162";"T2334";"Spirodelo-Salvinietum & Hydrocharidetum morsus-ranae"
"163";"T2334";"V 1-8"
"164";"T2334";"8 relev‚s"
"165";"T2334";"15 esp‚ces"
"166";"T2334";"A/D & corr.G.Roux"
"167";"T2335";"2335"
"168";"T2335";"KRAUSCH H.D."
"169";"T2335";"1965"
"170";"T2335";"Scirpo-Phragmitetum"
"171";"T2335";"VII 1-15"
"172";"T2335";"15 relev‚s"
"173";"T2335";"62 esp‚ces"
"174";"T2335";"A/D & corr. G.Roux"
"175";"T2336";"2336"
"176";"T2336";"KRAUSCH H.D."
"177";"T2336";"1965"
"178";"T2336";"297 1"
"179";"T2336";"X"
"180";"T2336";"1 relev‚"
"181";"T2336";"9 esp‚ces"
"182";"T2336";"A/D G.Roux"
"183";"T2337";"2337"
"184";"T2337";"KRAUSCH H.D."
"185";"T2337";"Scirpo-Phragmitetum"
"186";"T2337";"45 relev‚s"
"187";"T2337";"90 esp‚ces"
"188";"T2337";"A/D & corr. G.Roux"
"189";"T2338";"2338"
"190";"T2338";"KRAUSCH H.D."
"191";"T2338";"Cladietum mariscus"
"192";"T2338";"II 1-40"
"193";"T2338";"40 relev‚s"
"194";"T2338";"87 esp‚ces"
"195";"T2338";"A/D G.Roux"
"196";"T2339";"2339"
"197";"T2339";"KRAUSCH H.D."
"198";"T2339";"Juncus subnodulosus-Gesellsch."
"199";"T2339";"III 1-10"
"200";"T2339";"10 relev‚s"
"201";"T2339";"58 esp‚ces"
"202";"T2340";"2340"
"203";"T2340";"KRAUSCH H.D."
"204";"T2340";"Carex lasiocarpa-Gesellsch."
"205";"T2340";"IV 1-10"
"206";"T2340";"10 relev‚s"
"207";"T2340";"25 esp‚ces"
"208";"T2340";"A/D G.Roux"
"209";"T2341";"2341"
"210";"T2341";"KRAUSCH H.D."
"211";"T2341";"Glycerietum maximae"
"212";"T2341";"V 1-13"
"213";"T2341";" 13 relev‚s"
"214";"T2341";" 39 esp‚ces"
"215";"T2341";"A/D par G.Roux"
"216";"T2342";"2342"
"217";"T2342";"KRAUSCH H.D."
"218";"T2342";"Eleocharido-Hippuridetum"
"219";"T2342";"VI 1-4"
"220";"T2342";"4 relev‚s"
"221";"T2342";"7 esp‚ces"
"222";"T2342";"A/D par G.Roux"
"223";"T2343";"2343"
"224";"T2343";"KRAUSCH H.D."
"225";"T2343";"X"
"226";"T2343";"450(2) 1"
"227";"T2343";"1 relev‚"
"228";"T2343";"8 esp‚ces"
"229";"T2343";"A/D par G.Roux"
"230";"T2344";"2344"
"231";"T2344";"KRAUSCH H.D."
"232";"T2344";"450(2) 1"
"233";"T2344";"1 relev‚"
"234";"T2344";"9 esp‚ces"
"235";"T2344";"A/D par G.Roux"
"236";"T2345";"2345"
"237";"T2345";"KRAUSCH H.D."
"238";"T2345";"Sparganio-Glycerietum fluitantis"
"239";"T2345";"VII 1-10"
"240";"T2345";"10 relev‚s"
"241";"T2345";"23 esp‚ces"
"242";"T2345";"A/D par G.Roux"
"243";"T2346";"2346"
"244";"T2346";"KRAUSCH H.D."
"245";"T2346";"Caricetum ripario-acutiformis subass. … Hydrocharis morsus-ranae"
"246";"T2346";"VIII 1-15"
"247";"T2346";"15 relev‚s"
"248";"T2346";"A/D par G.Roux"
"249";"T2347";"2347"
"250";"T2347";"KRAUSCH H.D."
"251";"T2347";"Caricetum rostratae subass. typique"
"252";"T2347";"X 1-18"
"253";"T2347";"18 relev‚s"
"254";"T2347";"64 esp‚ces"
"255";"T2347";"A/D par G.Roux"
"256";"T2348";"2348"
"257";"T2348";"KRAUSCH H.D."
"258";"T2348";"Cicuto-Caricetum pseudocyperi"
"259";"T2348";"XI 1-5"
"260";"T2348";"5 relev‚s"
"261";"T2348";"20 esp‚ces"
"262";"T2348";"A/D par G.Roux"
"263";"T2349";"2349"
"264";"T2349";"KRAUSCH H.D."
"265";"T2349";"Caricetum elatae"
"266";"T2349";"XII 1-5"
"267";"T2349";"5 relev‚s"
"268";"T2349";"140 esp‚ces"
"269";"T2349";"A/D par G.Roux"
"270";"T2350";"2350"
"271";"T2350";"KRAUSCH H.D."
"272";"T2350";"Caricetum vesicariae"
"273";"T2350";"XIII 1-2"
"274";"T2350";"2 relev‚s"
"275";"T2350";"13 esp‚ces"
"276";"T2350";"A/D par G.Roux"
"277";"T2351";"2351"
"278";"T2351";" 28 relev‚s"
"279";"T2351";" 53 esp‚ces"
"280";"T2352";"2352"
"281";"T2352";"KRAUSCH H.D."
"282";"T2352";"1964"
"283";"T2352";"Charetum filiformis"
"284";"T2352";"20 relev‚s"
"285";"T2352";"13 esp‚ces"
"286";"T2353";"2353"
"287";"T2353";"KRAUSCHE H.D."
"288";"T2353";"1964"
"289";"T2353";"163 1-2"
"290";"T2353";"2 relev‚s"
"291";"T2353";"8 esp‚ces"
"292";"T2354";"2354"
"293";"T2354";"KRAUSCH H.D."
"294";"T2354";"Nitellopsidetum obtusae"
"295";"T2354";"V 1-25"
"296";"T2354";"25 relev‚s"
"297";"T2355";"2355"
"298";"T2355";"KRAUSCH H.D."
"299";"T2355";"Nitello-Vaucherietum dichotomae"
"300";"T2355";"30 relev‚s"
"301";"T2355";"6 esp‚ces"
"302";"T2355";"corrig‚ et A/D G.Roux"
"303";"T2356";"2356"
"304";"T2356";"KRAUSCH H.D."
"305";"T2356";"Cladophora-Fontinalis antipyretica Gesellsch."
"306";"T2356";"VII 1-5"
"307";"T2356";"5 relev‚s"
"308";"T2356";"7 esp‚ces"
"309";"T2357";"2357"
"310";"T2357";"KRAUSCH H.D."
"311";"T2357";"Potametum lucentis"
"312";"T2357";"VIII 1-30"
"313";"T2357";"30 relev‚s"
"314";"T2357";"31 esp‚ces"
"315";"T2358";"2358"
"316";"T2358";"KRAUSCH H.D."
"317";"T2358";"Myriophyllum alterniflorum Gesellsch."
"318";"T2358";"10 relev‚s"
"319";"T2358";"17 esp‚ces"
"320";"T2359";"2359"
"321";"T2359";"KRAUSCH H.D."
"322";"T2359";"Potametum filiformis"
"323";"T2359";"8 relev‚s"
"324";"T2359";"14 esp‚ces"
"325";"T2359";"rectif. G.Roux"
"326";"T2360";"2360"
"327";"T2360";"KRAUSCH H.D."
"328";"T2360";"Myriophyllo-Nupharetum"
"329";"T2360";"30 relev‚s"
"330";"T2360";"34 esp‚ces"
"331";"T2360";"correct. G.Roux"
"332";"T2361";"2361"
"333";"T2361";"KRAUSCH H.D."
"334";"T2361";"Potameto-Nupharetum(1-4) & Nymphaetum minoris(5-8)"
"335";"T2361";"  8 relev‚s"
"336";"T2361";" 13 esp‚ces"
"337";"T2361";"Corr. G.Roux"
"338";"T2362";"2362"
"339";"T2362";"KRAUSCH H.D."
"340";"T2362";"XIII 1-3"
"341";"T2362";"Polygonum amphibium Best."
"342";"T2362";"3 relev‚s"
"343";"T2362";"5 esp‚ces"
"344";"T2362";"Corr. G.Roux"
"345";"T2363";"2363"
"346";"T2363";"KRAUSCH H.D."
"347";"T2363";"XIV 1-15"
"348";"T2363";" 15 relev‚s"
"349";"T2363";" 16 esp‚ces"
"350";"T2363";"Corr. G. Roux"
"351";"T2364";"2364"
"352";"T2364";"KRAUSCH H.D."
"353";"T2364";"XV 1-22"
"354";"T2364";"22 relev‚s"
"355";"T2364";"32 esp‚ces"
"356";"T2365";"2365"
"357";"T2365";"KRAUSCH H.D."
"358";"T2365";"XVI 1-15"
"359";"T2365";"Lemnion minoris (Spirodelo-Lemnetum minoris 1-6, Lemnetum minoris 7-15)"
"360";"T2365";" 15 relev‚s"
"361";"T2365";" 12 esp‚ces"
"362";"T2365";"A/D par G.Roux"
"363";"T2366";"2366"
"364";"T2366";"BRAUN-BLANQUET J."
"365";"T2366";"1967"
"366";"T2366";"Vegetationsskizzen aus dem Baskenland mit ausblicken auf das weitere ibero-atlantikum. II. Teil.- Vegetatio, XIV, 1-4."
"367";"T2366";"Phragmition"
"368";"T2366";"Scirpo-Phragmitetum"
"369";"T2366";"4 relev‚s s‚par‚s p 21"
"370";"T2366";"Corr. & A/D G.Roux 1994"
"371";"T2367";"2367"
"372";"T2367";"BRAUN-BLANQUET J."
"373";"T2367";"Vegetation des Baskenlandes II.- Vegetatio"
"374";"T2367";"Glycerio-Sparganion"
"375";"T2367";"25 1"
"376";"T2367";"1 relev‚"
"377";"T2367";"A/D G.Roux 1995"
"378";"T2368";"2368"
"379";"T2368";"BRAUN-BLANQUET J."
"380";"T2368";"1967"
"381";"T2368";"Vegetationsskizzen aus dem Baskenland....- Vegetatio, XIV, 1-4"
"382";"T2368";"Glycerio-Sparganion"
"383";"T2368";"Helosciadetum"
"384";"T2368";"25 1-2"
"385";"T2368";"Corr. & A/D G.Roux 1994"
"386";"T2369";"2369"
"387";"T2369";"  4 relev‚s"
"388";"T2369";" 10 esp‚ces"
"389";"T2370";"2370"
"390";"T2370";"  4 relev‚s"
"391";"T2370";"  4 esp‚ces"
"392";"T2371";"2371"
"393";"T2371";"  4 relev‚s"
"394";"T2371";"  5 esp‚ces"
"395";"T2372";"2372"
"396";"T2372";" 12 relev‚s"
"397";"T2372";" 39 esp‚ces"
"398";"T2373";"2373"
"399";"T2373";" 10 relev‚s"
"400";"T2373";" 30 esp‚ces"
"401";"T2374";"2374"
"402";"T2374";"1975"
"403";"T2374";"DIERSSCHKE & TUXEN"
