;"strsplit(filename, ""\\."")[[1]][1]";header
1;T0507;507
2;T0507;X
3;T0507;MOLINIER R.
4;T0507;1957
5;T0507;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
6;T0507;Quercion pubescentis
7;T0507;Quercetum pubescentis
8;T0507;53
9;T0507;1
10;T0507;1
11;T0507;M‚diterran‚en
12;T0507;France
13;T0507;Ch‚naie pubescente
14;T0507;G.Roux
15;T0508;508
16;T0508;X
17;T0508;MOLINIER R.
18;T0508;1957
19;T0508;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
20;T0508;Quercion ilicis
21;T0508;Erico-Arbutetum
22;T0508;54
23;T0508;1
24;T0508;1
25;T0508;M‚diterran‚en
26;T0508;France
27;T0508;Maquis
28;T0508;G.Roux
29;T0509;509
30;T0509;X
31;T0509;MOLINIER R.
32;T0509;1957
33;T0509;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
34;T0509;Quercion ilicis
35;T0509;Erico-Arbutetum
36;T0509;III
37;T0509;3
38;T0509;01-mars
39;T0509;M‚diterran‚en
40;T0509;France
41;T0509;Maquis
42;T0509;G.Roux
43;T0510;510
44;T0510;X
45;T0510;MOLINIER R.
46;T0510;1957
47;T0510;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
48;T0510;Rosmarino-Ericion
49;T0510;Rosmarino-Lithospermetum
50;T0510;IV
51;T0510;3
52;T0510;01-mars
53;T0510;M‚diterran‚en
54;T0510;France
55;T0510;Garrigue
56;T0510;G.Roux
57;T0511;511
58;T0511;X
59;T0511;MOLINIER R.
60;T0511;1957
61;T0511;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
62;T0511;Aphyllanthion
63;T0511;X
64;T0511;59
65;T0511;1
66;T0511;1
67;T0511;M‚diterran‚en
68;T0511;France
69;T0511;Garrigue
70;T0511;G.Roux
71;T0512;512
72;T0512;X
73;T0512;MOLINIER R.
74;T0512;1957
75;T0512;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
76;T0512;Rosmarino-Ericion
77;T0512;X
78;T0512;59
79;T0512;1
80;T0512;1
81;T0512;M‚diterran‚en
82;T0512;France
83;T0512;Garrigue … Juniperus
84;T0512;G.Roux
85;T0513;513
86;T0513;X
87;T0513;MOLINIER R.
88;T0513;1957
89;T0513;La v‚g‚tation du bassin synclinal de La Ciotat-Le Beausset (Var). Monographies phytosociologiques. - Bull. Mus. Hist. Nat. Marseille, 17: 45-71.
90;T0513;Rosmarino-Ericion
