"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T1304";"1304"
"2";"T1304";"BOLOS O. DE"
"3";"T1304";"1957"
"4";"T1304";"De vegetatione valentina I.- Coll. Botanica, V, 2: 527-596."
"5";"T1304";"Thero-Brachypodion"
"6";"T1304";"Sileno-Tunicetum saxifragae"
"7";"T1304";"567 1-2"
"8";"T1304";"2 relev‚s"
"9";"T1304";"A/D & corr. G.Roux 1995"
"10";"T1305";"1305"
"11";"T1305";"BOLOS O. DE"
"12";"T1305";"1954"
"13";"T1305";"De vegetatione notulae I.- Coll. Botanica, IV: 253-286."
"14";"T1305";"Brachypodio -Stipetum"
"15";"T1305";"3 relev‚s"
"16";"T1305";"A/D G.Roux 1995"
"17";"T1306";"1306"
"18";"T1306";" 15 relev‚s"
"19";"T1306";" 55 esp‚ces"
"20";"T1307";"1307"
"21";"T1307";" 28 relev‚s"
"22";"T1307";" 58 esp‚ces"
"23";"T1308";"1308"
"24";"T1308";"RIVAS GODAY S."
"25";"T1308";"1957"
"26";"T1308";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"27";"T1308";"Anthyllido-Malcolmion nov."
"28";"T1308";"Malcolmio lacerae-Anthyllidetum hamosae nov."
"29";"T1308";"VI 1-5"
"30";"T1308";"5 relev‚s"
"31";"T1308";"A/D G. Roux 1995"
"32";"T1309";"1309"
"33";"T1309";"RIVAS GODAY S."
"34";"T1309";"1957"
"35";"T1309";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"36";"T1309";"Anthyllido-Malcolmion nov."
"37";"T1309";"Hymenostemmo pseudoanthemis-Arenarietum emarginatae nov."
"38";"T1309";"VII 1-10"
"39";"T1309";"10 relev‚s"
"40";"T1309";"A/D G. Roux 1995"
"41";"T1310";"1310"
"42";"T1310";"RIVAS GODAY S."
"43";"T1310";"1957"
"44";"T1310";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"45";"T1310";"Moenchion erecti nov."
"46";"T1310";"Violo kiaibeliana-Senecietum minuti nov."
"47";"T1310";"XVI 1-4"
"48";"T1310";"4 relev‚s"
"49";"T1310";"A/D G. Roux 1995"
"50";"T1311";"1311"
"51";"T1311";"RIVAS GODAY S."
"52";"T1311";"1957"
"53";"T1311";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"54";"T1311";"Moenchion erecti nov."
"55";"T1311";"Airo praecocis-Radioletum linoides nov."
"56";"T1311";"XVII 1-5"
"57";"T1311";"5 relev‚s"
"58";"T1311";"A/D G. Roux 1995"
"59";"T1312";"1312"
"60";"T1312";"RIVAS GODAY S."
"61";"T1312";"1957"
"62";"T1312";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"63";"T1312";"Moenchion erecti nov."
"64";"T1312";"Airopsido-Periballietum minutae R.Goday 1955"
"65";"T1312";"XVIII 1-7"
"66";"T1312";"7 relev‚s"
"67";"T1312";"A/D G. Roux 1995"
"68";"T1313";"1313"
"69";"T1313";"RIVAS GODAY S."
"70";"T1313";"1957"
"71";"T1313";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"72";"T1313";"Moenchion erecti nov."
"73";"T1313";"Cerastio riaei-Evacetum carpetani nov."
"74";"T1313";"XIX 1-6"
"75";"T1313";"6 relev‚s"
"76";"T1313";"A/D G. Roux 1995 (Rem: Pyrethrum pallidum 2 & 1 en 5 & 6 a ‚t‚ omis)"
"77";"T1314";"1314"
"78";"T1314";"RIVAS GODAY S."
"79";"T1314";"1957"
"80";"T1314";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"81";"T1314";"Helianthemion guttati"
"82";"T1314";"Scandici microcarpae-Tillaetum muscosae subass. Pimpinelletosum villosae"
"83";"T1314";"X 1-7"
"84";"T1314";"7 relev‚s"
"85";"T1314";"A/D G. Roux 1995"
"86";"T1315";"1315"
"87";"T1315";"RIVAS GODAY S."
"88";"T1315";"1957"
"89";"T1315";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"90";"T1315";"Helianthemion guttati"
"91";"T1315";"Trifolio cherleri-Plantaginetum bellardii"
"92";"T1315";"XI 1-9"
"93";"T1315";"9 relev‚s"
"94";"T1315";"A/D G. Roux 1995"
"95";"T1316";"1316"
"96";"T1316";"RIVAS GODAY S."
"97";"T1316";"1957"
"98";"T1316";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"99";"T1316";"Helianthemion guttati"
"100";"T1316";"Airo cupanianae-Tolpidetum barbatae nov."
"101";"T1316";"XII 1-10"
"102";"T1316";"10 relev‚s"
"103";"T1316";"A/D G. Roux 1995"
"104";"T1317";"1317"
"105";"T1317";"RIVAS GODAY S."
"106";"T1317";"1957"
"107";"T1317";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"108";"T1317";"Helianthemion guttati"
"109";"T1317";"Paronychio cymosae-Pterocephaletum papposi"
"110";"T1317";"XIII 1-7"
"111";"T1317";"7 relev‚s"
"112";"T1317";"A/D G. Roux 1995"
"113";"T1318";"1318"
"114";"T1318";"RIVAS GODAY S."
"115";"T1318";"1957"
"116";"T1318";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"117";"T1318";"Helianthemion guttati"
"118";"T1318";"Lupino rothmaleri-Ornithopetum isthmocarpi"
"119";"T1318";"XIV 1-7"
"120";"T1318";"7 relev‚s"
"121";"T1318";"A/D G. Roux 1995"
"122";"T1319";"1319"
"123";"T1319";"RIVAS GODAY S."
"124";"T1319";"1957"
"125";"T1319";"Nuevos ordenes y alianzas de Helianthemetea annua Br. Bl..- Anal. Inst. Bot. Cavanilles, 15"
"126";"T1319";"Moenchion erecti nov."
"127";"T1319";"Prolongoo pectinatae-Senecietum minuti"
"128";"T1319";"XV 1-7"
"129";"T1319";"7 relev‚s"
"130";"T1319";"A/D G. Roux 1995"
"131";"T1320";"1320"
"132";"T1320";"BRAUN-BLANQUET J. & col."
"133";"T1320";"1971"
"134";"T1320";"Les pelouses steppiques"
"135";"T1320";"Armerion junceae"
"136";"T1320";"Armerietum junceae"
"137";"T1320";"V"
"138";"T1320";"1-37"
"139";"T1320";"Corr. & A/D G.Roux 1994 "
"140";"T1321";"1321"
"141";"T1321";"VANDEN BERGHEN C."
"142";"T1321";"1963"
"143";"T1321";"Armerion junceae"
"144";"T1321";"Armerietum junceae"
"145";"T1321";"XXIX 1-22"
"146";"T1321";"22 relev‚s"
"147";"T1321";"Corr. & A/D G.Roux 1994"
"148";"T1322";"1322"
"149";"T1322";"LAPRAZ G."
"150";"T1322";"1974"
"151";"T1322";"Thero-Brachypodion"
"152";"T1322";"Arenarietum conimbricensis"
"153";"T1322";" 31 relev‚s"
"154";"T1322";"Corr. & A/D G.Roux 1994"
"155";"T1323";"1323"
"156";"T1323";"BRAUN-BLANQUET J."
"157";"T1323";"1973"
"158";"T1323";"Phleeto-Sedetum anopetalae en Larzac.- Vegetatio, 27, 1-3: 101-108."
