"";"T1000_1";"T1000_2";"T1000_3";"T1000_4";"T1000_5";"T1000_6";"T1000_7";"T1000_8";"T1000_9";"T1000_10";"T1000_11";"T1000_12";"T1001_1";"T1001_2";"T1001_3";"T1002_1";"T1002_2";"T1002_3";"T1002_4";"T1002_5";"T1002_6";"T1002_7";"T1003_1";"T1003_2";"T1003_3";"T1003_4";"T1003_5";"T1003_6";"T1003_7";"T1004_1";"T1004_2";"T1004_3";"T1004_4";"T1004_5";"T1004_6";"T1004_7";"T1004_8";"T1004_9";"T1004_10";"T1005_1";"T1005_2";"T1005_3";"T1005_4";"T1005_5";"T1005_6";"T1005_7";"T1005_8";"T1006_1";"T1006_2";"T1006_3";"T1006_4";"T1006_5";"T1007_1";"T1007_2";"T1007_3";"T1007_4";"T1008_1";"T1008_2";"T1008_3";"T1008_4";"T1008_5";"T1008_6";"T1009_1";"T1010_1";"T1010_2";"T1010_3";"T1010_4";"T1011_1";"T1011_2";"T1012_1";"T1012_2";"T1013_1";"T1013_2";"T1014_1";"T1015_1";"T1015_2";"T1015_3";"T1016_1";"T1017_1";"T1017_2";"T1018_1";"T1018_2";"T1018_3";"T1018_4";"T1018_5";"T1018_6";"T1019_1";"T1019_2";"T1019_3";"T1019_4";"T1019_5";"T1020_1";"T1020_2";"T1020_3";"T1020_4";"T1020_5";"T1021_1";"T1021_2";"T1021_3";"T1021_4";"T1022_1";"T1022_2";"T1023_1";"T1023_2";"T1023_3";"T1023_4";"T1024_1";"T1024_2";"T1024_3";"T1024_4";"T1024_5";"T1024_6";"T1024_7";"T1024_8";"T1025_1";"T1025_2";"T1025_3";"T1025_4";"T1025_5";"T1026_1";"T1026_2";"T1026_3";"T1026_4";"T1026_5";"T1026_6";"T1027_1";"T1027_2";"T1027_3";"T1027_4";"T1027_5";"T1027_6";"T1027_7";"T1027_8";"T1028_1";"T1028_2";"T1029_1";"T1029_2";"T1030_1";"T1030_2";"T1030_3";"T1030_4";"T1031_1";"T1031_2";"T1031_3";"T1031_4";"T1032_1";"T1032_2";"T1032_3";"T1032_4";"T1033_1";"T1033_2";"T1033_3";"T1033_4";"T1033_5";"T1033_6";"T1033_7";"T1033_8";"T1033_9";"T1034_1";"T1034_2";"T1034_3";"T1035_1";"T1035_2";"T1035_3";"T1035_4";"T1036_1";"T1037_1";"T1037_2";"T1037_3";"T1037_4";"T1037_5";"T1037_6";"T1037_7";"T1037_8";"T1037_9";"T1038_1";"T1038_2";"T1038_3";"T1039_1";"T1039_2";"T1039_3";"T1039_4";"T1039_5";"T1039_6";"T1039_7";"T1039_8";"T1039_9";"T1039_10";"T1039_11";"T1039_12";"T1039_13";"T1039_14";"T1039_15";"T1039_16";"T1039_17";"T1039_18";"T1040_1";"T1040_2";"T1040_3";"T1040_4";"T1040_5";"T1040_6";"T1040_7";"T1040_8";"T1040_9";"T1040_10";"T1040_11";"T1041_1";"T1041_2";"T1041_3";"T1041_4";"T1041_5";"T1041_6";"T1041_7";"T1041_8";"T1042_1";"T1042_2";"T1042_3";"T1042_4";"T1042_5";"T1043_1";"T1043_2";"T1043_3";"T1044_1";"T1044_2";"T1044_3";"T1044_4";"T1044_5";"T1045_1";"T1045_2";"T1046_1";"T1046_2";"T1046_3";"T1047_1";"T1047_2";"T1047_3";"T1047_4";"T1048_1";"T1048_2";"T1049_1";"T1049_2";"T1049_3";"T1049_4";"T1049_5";"T1049_6";"T1049_7";"T1049_8";"T1049_9";"T1049_10";"T1049_11";"T1049_12";"T1049_13";"T1049_14";"T1049_15";"T1049_16";"T1049_17";"T1050_1";"T1050_2";"T1050_3";"T1050_4";"T1050_5";"T1050_6";"T1050_7";"T1050_8";"T1050_9";"T1051_1";"T1052_1";"T1052_2";"T1052_3";"T1052_4";"T1053_1";"T1053_2";"T1053_3";"T1053_4";"T1053_5";"T1053_6";"T1053_7";"T1053_8";"T1053_9";"T1053_10";"T1053_11";"T1053_12";"T1053_13";"T1053_14";"T1053_15";"T1053_16";"T1053_17";"T1053_18";"T1053_19";"T1053_20";"T1053_21";"T1053_22";"T1053_23";"T1053_24";"T1054_1";"T1054_2";"T1054_3";"T1054_4";"T1054_5";"T1055_1";"T1055_2";"T1055_3";"T1056_1";"T1056_2";"T1057_1";"T1057_2";"T1057_3";"T1057_4";"T1057_5";"T1057_6";"T1057_7";"T1057_8";"T1058_1";"T1058_2";"T1058_3";"T1059_1";"T1059_2";"T1059_3";"T1059_4";"T1060_1";"T1060_2";"T1061_1";"T1061_2";"T1061_3";"T1061_4";"T1061_5";"T1061_6";"T1061_7";"T1061_8";"T1061_9";"T1061_10";"T1062_1";"T1062_2";"T1062_3";"T1062_4";"T1063_1";"T1063_2";"T1063_3";"T1063_4";"T1063_5";"T1064_1";"T1064_2";"T1064_3";"T1064_4";"T1064_5";"T1064_6";"T1064_7";"T1064_8";"T1064_9";"T1065_1";"T1065_2";"T1065_3";"T1066_1";"T1066_2";"T1066_3";"T1066_4";"T1067_1";"T1067_2";"T1068_1";"T1068_2";"T1068_3";"T1068_4";"T1068_5";"T1068_6";"T1068_7";"T1068_8";"T1068_9";"T1068_10";"T1068_11";"T1069_1";"T1069_2";"T1069_3";"T1069_4";"T1069_5";"T1069_6";"T1069_7";"T1069_8";"T1069_9";"T1069_10";"T1069_11";"T1069_12";"T1069_13";"T1069_14";"T1069_15";"T1070_1";"T1070_2";"T1070_3";"T1070_4";"T1070_5";"T1070_6";"T1070_7";"T1070_8";"T1070_9";"T1070_10";"T1070_11";"T1070_12";"T1071_1";"T1071_2";"T1071_3";"T1071_4";"T1071_5";"T1071_6";"T1071_7";"T1071_8";"T1072_1";"T1072_2";"T1072_3";"T1072_4";"T1072_5";"T1072_6";"T1072_7";"T1072_8";"T1073_1";"T1074_1";"T1075_1";"T1076_1";"T1076_2";"T1076_3";"T1076_4";"T1077_1";"T1077_2";"T1077_3";"T1077_4";"T1077_5";"T1077_6";"T1078_1";"T1078_2";"T1078_3";"T1078_4";"T1078_5";"T1078_6";"T1078_7";"T1078_8";"T1079_1";"T1079_2";"T1079_3";"T1079_4";"T1079_5";"T1079_6";"T1079_7";"T1079_8";"T1079_9";"T1079_10";"T1079_11";"T1079_12";"T1079_13";"T1079_14";"T1079_15";"T1079_16";"T1079_17";"T1079_18";"T1079_19";"T1079_20";"T1080_1";"T1080_2";"T1080_3";"T1080_4";"T1080_5";"T1080_6";"T1080_7";"T1080_8";"T1080_9";"T1080_10";"T1080_11";"T1081_1";"T1082_1";"T1082_2";"T1082_3";"T1082_4";"T1083_1";"T1083_2";"T1083_3";"T1083_4";"T1083_5";"T1083_6";"T1084_1";"T1084_2";"T1084_3";"T1084_4";"T1085_1";"T1085_2";"T1085_3";"T1085_4";"T1086_1";"T1086_2";"T1087_1";"T1088_1";"T1089_1";"T1090_1";"T1090_2";"T1090_3";"T1090_4";"T1090_5";"T1091_1";"T1091_2";"T1091_3";"T1092_1";"T1092_2";"T1093_1";"T1094_1";"T1094_2";"T1095_1";"T1095_2";"T1095_3";"T1095_4";"T1095_5";"T1095_6";"T1095_7";"T1096_1";"T1096_2";"T1097_1";"T1097_2";"T1097_3";"T1098_1";"T1098_2";"T1098_3";"T1098_4";"T1098_5";"T1098_6";"T1098_7";"T1098_8";"T1098_9";"T1099_1";"T1100_1";"T1100_2";"T1100_3";"T1100_4";"T1100_5";"T1100_6";"T1100_7";"T1100_8";"T1100_9";"T1100_10";"T1101_1";"T1101_2"
"Ruscus aculeatus L.";"2";"2";"2";"2";"1";"4";"1";"+";"3";"+";"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Phillyrea latifolia L.";"1";".";"+";"+";"+";".";"+";"+";"+";"+";"2";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;;".";"1";"1";"1";"+";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";"+";".";".";".";".";"+";".";"+";"1";"1";"+";;;;;;;;;;;;;;;;;;;;;;"+";".";"+";"+";"2";".";"2";".";".";".";".";".";".";".";"2";"3";"3";"2";"1";"1";"2";"+";"+";"1";"+";"2";"2";"1";"+";".";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Carex distachya Desf.";"1";"2";".";"1";".";"+";"+";".";"1";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lonicera implexa Aiton";"+";"1";"1";"2";"+";"+";"1";"1";"1";"+";".";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"1";"1";"1";".";".";"1";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";"+";"+";"+";".";"+";".";".";".";;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";"+";".";".";;;;;;;;;".";".";"+";".";"+";".";".";".";;;;".";".";".";"+";;;;;;;;;;;;;;;".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Viburnum tinus L.";"+";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"1";;;"1";"3";"1";"+";".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rosa sempervirens L.";"+";".";".";".";".";".";".";".";"+";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Moehringia trinervia (L.) Clairv.";"+";".";".";".";".";".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";".";".";".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Quercus ilex L.";"5";"5";"4";"5";"5";"4";"5";"3";"5";"5";"5";"4";;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";"1";".";".";".";".";"2";"1";"+";"1";"1";"2";"+";"1";"1";"+";"1";"1";".";"1";"+";"1";"2";"1";"3";"3";"1";".";"1";".";"3";".";"1";".";".";"2";;"1";".";"+";".";".";"1";".";"1";;;;;;;;;;;;;;;;;;;;;".";".";"+";"1";".";".";".";".";"2";"1";"+";"1";"1";"+";"1";"1";".";"1";"+";;;;;;;;;;;;;"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";".";".";".";".";".";;"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";".";"+";"+";"+";"+";"+";"+";"+";"+";;;;;;;;;;;;;;;;".";".";".";"+";"+";".";".";".";"+";"2";"+";"+";;;;;;;;;".";".";".";".";".";"+";".";".";;"+";;"+";"2";"+";"2";"+";".";".";"+";"+";".";;;;;;;;;"1";"2";"1";"+";"1";".";".";"+";".";".";".";"+";".";".";"+";"+";"+";"+";"+";".";".";"+";"1";"+";"1";".";"3";".";"+";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Asparagus acutifolius L.";"+";"1";"1";"1";"+";"2";"+";"+";"2";"+";"+";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";".";"+";"1";".";".";".";"1";".";".";"1";".";"+";".";"+";".";"1";;;;;;;"+";".";".";"+";".";"1";".";"+";".";"1";".";"+";".";".";"+";"+";"+";".";".";".";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;"1";".";"+";"1";".";".";".";"1";".";".";"1";".";"+";;;;;;;;;;;;;;;;;;;;;;;"+";".";"1";".";"1";"1";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";"+";".";".";"+";"+";;;;"+";".";".";".";;;;;;;;;;;;;;;".";"+";".";".";"+";".";".";"+";".";".";"+";"+";".";".";"+";"+";".";"+";"1";"+";".";".";".";".";".";".";"+";".";"+";".";".";;;;;;;;;;;;;;;;".";".";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lonicera etrusca G. Santi";".";".";".";".";".";".";".";".";"1";"+";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
