"";"T4917_1";"T4917_2";"T4917_3";"T4917_4";"T4917_5";"T4918_1";"T4918_2";"T4919_1";"T4919_2";"T4920_1";"T4920_2";"T4920_3";"T4920_4";"T4920_5";"T4921_1";"T4921_2";"T4921_3";"T4921_4";"T4921_5";"T4921_6";"T4921_7";"T4922_1";"T4922_2";"T4922_3";"T4922_4";"T4922_5";"T4922_6";"T4922_7";"T4922_8";"T4922_9";"T4922_10";"T4922_11";"T4922_12";"T4922_13";"T4922_14";"T4922_15";"T4922_16";"T4923_1";"T4924_1";"T4924_2";"T4924_3";"T4924_4";"T4925_1";"T4925_2";"T4925_3";"T4925_4";"T4925_5";"T4925_6";"T4925_7";"T4925_8";"T4925_9";"T4926_1";"T4926_2";"T4926_3";"T4926_4";"T4926_5";"T4926_6";"T4926_7";"T4927_1";"T4927_2";"T4927_3";"T4927_4";"T4928_1";"T4928_2";"T4928_3";"T4928_4";"T4928_5";"T4929_1";"T4929_2";"T4929_3";"T4929_4";"T4929_5";"T4929_6";"T4929_7";"T4929_8";"T4929_9";"T4929_10";"T4929_11";"T4930_1";"T4930_2";"T4930_3";"T4930_4";"T4930_5";"T4930_6";"T4930_7";"T4930_8";"T4930_9";"T4930_10";"T4930_11";"T4930_12";"T4930_13";"T4930_14";"T4930_15";"T4931_1";"T4931_2";"T4931_3";"T4931_4";"T4931_5";"T4931_6";"T4931_7";"T4931_8";"T4931_9";"T4931_10";"T4931_11";"T4932_1";"T4932_2";"T4932_3";"T4932_4";"T4932_5";"T4932_6";"T4933_1";"T4933_2";"T4933_3";"T4933_4";"T4934_1";"T4934_2";"T4935_1";"T4935_2";"T4936_1";"T4936_2";"T4936_3";"T4936_4";"T4936_5";"T4936_6";"T4936_7";"T4936_8";"T4936_9";"T4936_10";"T4936_11";"T4936_12";"T4936_13";"T4936_14";"T4937_1";"T4937_2";"T4937_3";"T4937_4";"T4937_5";"T4937_6";"T4937_7";"T4937_8";"T4937_9";"T4937_10";"T4937_11";"T4937_12";"T4937_13";"T4937_14";"T4937_15";"T4938_1";"T4938_2";"T4938_3";"T4938_4";"T4938_5";"T4938_6";"T4938_7";"T4938_8";"T4938_9";"T4938_10";"T4938_11";"T4938_12";"T4938_13";"T4938_14";"T4938_15";"T4938_16";"T4938_17";"T4938_18";"T4938_19";"T4938_20";"T4939_1";"T4939_2";"T4939_3";"T4939_4";"T4939_5";"T4939_6";"T4939_7";"T4939_8";"T4939_9";"T4939_10";"T4939_11";"T4939_12";"T4939_13";"T4939_14";"T4939_15";"T4940_1";"T4941_1";"T4941_2";"T4941_3";"T4942_1";"T4942_2";"T4942_3";"T4942_4";"T4942_5";"T4942_6";"T4942_7";"T4942_8";"T4942_9";"T4942_10";"T4942_11";"T4942_12";"T4942_13";"T4942_14";"T4942_15";"T4942_16";"T4942_17";"T4942_18";"T4942_19";"T4942_20";"T4942_21";"T4942_22";"T4942_23";"T4942_24";"T4943_1";"T4943_2";"T4943_3";"T4943_4";"T4943_5";"T4943_6";"T4943_7";"T4944_1";"T4944_2";"T4944_3";"T4944_4";"T4944_5";"T4945_1";"T4945_2";"T4945_3";"T4945_4";"T4946_1";"T4946_2";"T4946_3";"T4947_1";"T4947_2";"T4947_3";"T4947_4";"T4947_5";"T4948_1";"T4948_2";"T4949_1";"T4950_1";"T4950_2";"T4951_1";"T4951_2";"T4951_3";"T4951_4";"T4952_1";"T4953_1";"T4954_1";"T4955_1";"T4955_2";"T4955_3";"T4955_4";"T4955_5";"T4956_1";"T4956_2";"T4956_3";"T4956_4";"T4956_5";"T4956_6";"T4956_7";"T4956_8";"T4956_9";"T4957_1";"T4957_2";"T4957_3";"T4957_4";"T4957_5";"T4957_6";"T4957_7";"T4957_8";"T4957_9";"T4957_10";"T4958_1";"T4958_2";"T4958_3";"T4958_4";"T4959_1";"T4959_2";"T4959_3";"T4959_4";"T4959_5";"T4960_1";"T4960_2";"T4960_3";"T4960_4";"T4961_1";"T4961_2";"T4961_3";"T4961_4";"T4962_1";"T4962_2";"T4962_3";"T4962_4";"T4962_5";"T4962_6";"T4962_7";"T4963_1";"T4963_2";"T4964_1";"T4964_2";"T4964_3";"T4964_4";"T4964_5";"T4964_6";"T4965_1";"T4965_2";"T4965_3";"T4965_4";"T4965_5";"T4965_6";"T4965_7";"T4965_8";"T4965_9";"T4966_1";"T4966_2";"T4966_3";"T4966_4";"T4966_5";"T4966_6";"T4967_1";"T4967_2";"T4967_3";"T4967_4";"T4967_5";"T4967_6";"T4967_7";"T4967_8";"T4967_9";"T4967_10";"T4967_11";"T4967_12";"T4967_13";"T4967_14";"T4967_15";"T4967_16";"T4967_17";"T4967_18";"T4967_19";"T4968_1";"T4968_2";"T4969_1";"T4969_2";"T4969_3";"T4969_4";"T4969_5";"T4970_1";"T4970_2";"T4971_1";"T4971_2";"T4971_3";"T4972_1";"T4973_1";"T4973_2";"T4973_3";"T4973_4";"T4973_5";"T4973_6";"T4974_1";"T4975_1";"T4976_1";"T4977_1";"T4978_1";"T4979_1";"T4979_2";"T4979_3";"T4979_4";"T4979_5";"T4979_6";"T4979_7";"T4979_8";"T4979_9";"T4979_10";"T4979_11";"T4979_12";"T4979_13";"T4979_14";"T4979_15";"T4979_16";"T4979_17";"T4979_18";"T4979_19";"T4980_1";"T4980_2";"T4980_3";"T4980_4";"T4980_5";"T4980_6";"T4980_7";"T4980_8";"T4980_9";"T4980_10";"T4980_11";"T4980_12";"T4980_13";"T4981_1";"T4981_2";"T4981_3";"T4981_4";"T4982_1";"T4982_2";"T4982_3";"T4983_1";"T4983_2";"T4983_3";"T4984_1";"T4984_2";"T4985_1";"T4985_2";"T4985_3";"T4985_4";"T4987_1";"T4987_2";"T4987_3";"T4987_4";"T4988_1";"T4988_2";"t4989_1";"t4989_2";"t4989_3";"t4989_4";"t4989_5";"t4989_6";"t4989_7";"t4989_8";"t4989_9";"t4989_10";"t4989_11";"t4989_12";"t4989_13";"t4990_1";"t4990_2";"t4990_3";"t4990_4";"t4990_5";"t4990_6";"t4990_7";"t4990_8";"t4990_9";"t4990_10";"t4990_11";"t4990_12";"t4990_13";"t4990_14";"t4990_15";"t4991_1";"t4991_2";"t4991_3";"t4991_4";"t4991_5";"t4991_6";"t4991_7";"t4991_8";"t4991_9";"t4991_10";"t4991_11";"t4991_12";"t4991_13";"t4991_14";"t4991_15";"t4991_16";"t4992_1";"t4992_2";"t4992_3";"t4992_4";"t4992_5";"t4992_6";"t4992_7";"t4993_1";"t4993_2";"t4993_3";"t4993_4";"t4993_5";"t4993_6";"t4993_7";"t4993_8";"t4994_1";"t4994_2";"t4994_3";"t4994_4";"t4994_5";"t4994_6";"t4994_7";"t4995_1";"t4995_2";"t4995_3";"t4995_4";"t4995_5";"t4995_6";"t4995_7";"t4995_8";"t4995_9";"t4995_10";"t4995_11";"t4995_12";"t4995_13";"t4995_14";"t4996_1";"t4996_2";"t4996_3";"t4996_4";"t4996_5";"t4996_6";"t4996_7";"t4996_8";"t4996_9";"t4997_1";"t4997_2";"t4997_3";"t4997_4";"t4998_1";"t4998_2";"t4998_3";"t4998_4";"t4998_5";"t4998_6";"t4998_7";"t4998_8";"t4998_9";"t4998_10";"t4998_11";"t4998_12";"t4998_13";"t4998_14";"t4998_15";"t4998_16";"t4998_17";"t4998_18";"t4998_19";"t4998_20";"t4998_21";"t4998_22";"t4998_23";"t4998_24";"t4998_25";"t4998_26";"T4999_1";"T4999_2";"T4999_3";"T4999_4";"T4999_5";"T4999_6";"T4999_7";"T4999_8"
"Plantago major L.";"2";"1";"+";".";"3";;;"+";".";".";".";"+";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"1";"2";"2";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;"2";".";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";"+";"+";"+";".";"+";"+";"2";"+";"+";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Matricaria discoidea";".";"1";"+";".";"+";;;"+";".";".";".";"2";".";".";".";".";"1";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";"1";"+";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";".";".";".";"+";;;".";".";"+";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mercurialis annua L.";".";".";".";"3";"4";".";"1";"+";"1";".";".";"1";".";"+";".";".";"+";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";".";".";"1";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";"+";"1";".";"+";".";".";".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Geranium molle L.";"+";".";"+";".";".";;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";"+";;;;;;;;".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"+";".";".";".";;;;;".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";;;;;;;;
"Conyza canadensis (L.) Cronq.";".";".";"+";".";".";".";"+";;;;;;;;"+";".";".";"2";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";"+";".";".";".";;;;;;;"2";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";"+";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Capsella bursa-pastoris (L.) Medicus";"+";"+";"1";"2";".";"+";".";"+";".";"+";"1";"+";".";"+";".";".";"2";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"1";".";".";"1";".";".";"+";".";"+";"+";".";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";"+";".";"+";"+";"2";"1";"2";"+";"+";".";".";"+";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Polygonum aviculare L.";".";"1";"1";"+";"1";"+";".";;;"2";"1";"+";".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"2";".";".";".";"+";;;;;".";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"1";"+";"+";"1";"+";"+";".";".";".";"+";"+";"+";"2";".";"+";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";;;;;;;;"1";"+";".";".";"1";".";".";".";;;;;;;;;;;;;;;;;;;;;;".";"1";"+";".";"+";".";".";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Poa annua L.";"1";"1";"1";".";"1";;;;;".";".";"+";".";".";".";".";"2";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";".";"3";"3";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";"+";"1";"3";;"3";;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"+";"3";".";".";".";".";;;;;"+";"+";"+";"+";".";"+";"+";".";"+";"+";"+";"+";"+";"1";"1";"+";"+";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";".";".";".";".";"3";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";".";"+";"+";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"1";"+";"+";".";"1";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";"+";".";"+";".";"+";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";;;;;;;;
"Silene alba (Miller) E. H. L. Krause =Melandryum a.";".";".";".";"+";".";;;"+";".";".";"+";".";".";".";"1";"1";"+";"+";".";"4";"+";".";".";".";".";"+";".";".";".";"+";".";".";".";"+";".";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";"1";"1";"1";"1";"+";".";"1";".";"1";".";".";".";".";".";".";".";".";"+";".";"1";".";".";".";".";".";".";".";"+";"+";".";".";"+";"+";"+";"+";;;;;;;".";".";"+";".";;;"1";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"1";".";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hordeum murinum L.";"+";".";"+";"3";".";;;;;;;;;;".";".";"+";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";"+";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"2";"1";"1";"2";"1";"3";"1";"+";"3";"+";"+";"1";"2";".";"+";"+";"+";"+";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";;;;;".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;
