"";"T4308_1";"T4309_1";"T4309_2";"T4309_3";"T4309_4";"T4309_5";"T4309_6";"T4309_7";"T4309_8";"T4309_9";"T4309_10";"T4309_11";"T4309_12";"T4309_13";"T4309_14";"T4309_15";"T4310_1";"T4310_2";"T4310_3";"T4310_4";"T4310_5";"T4310_6";"T4310_7";"T4310_8";"T4310_9";"T4310_10";"T4310_11";"T4310_12";"T4310_13";"T4311_1";"T4311_2";"T4311_3";"T4311_4";"T4311_5";"T4311_6";"T4311_7";"T4311_8";"T4311_9";"T4311_10";"T4311_11";"T4311_12";"T4311_13";"T4311_14";"T4311_15";"T4311_16";"T4311_17";"T4311_18";"T4311_19";"T4311_20";"T4311_21";"T4312_1";"T4313_1";"T4313_2";"T4313_3";"T4313_4";"T4313_5";"T4313_6";"T4313_7";"T4313_8";"T4313_9";"T4313_10";"T4313_11";"T4313_12";"T4314_1";"T4314_2";"T4314_3";"T4314_4";"T4314_5";"T4314_6";"T4314_7";"T4314_8";"T4314_9";"T4314_10";"T4314_11";"T4314_12";"T4314_13";"T4314_14";"T4314_15";"T4315_1";"T4315_2";"T4315_3";"T4315_4";"T4315_5";"T4315_6";"T4316_1";"T4317_1";"T4317_2";"T4317_3";"T4317_4";"T4317_5";"T4317_6";"T4317_7";"T4318_1";"T4318_2";"T4318_3";"T4318_4";"T4318_5";"T4318_6";"T4318_7";"T4318_8";"T4318_9";"T4318_10";"T4318_11";"T4318_12";"T4319_1";"T4320_1";"T4321_1";"T4321_2";"T4321_3";"T4321_4";"T4321_5";"T4321_6";"T4321_7";"T4321_8";"T4321_9";"T4321_10";"T4321_11";"T4321_12";"T4321_13";"T4321_14";"T4322_1";"T4322_2";"T4322_3";"T4322_4";"T4322_5";"T4322_6";"T4322_7";"T4322_8";"T4322_9";"T4323_1";"T4323_2";"T4323_3";"T4323_4";"T4323_5";"T4323_6";"T4323_7";"T4323_8";"T4323_9";"T4323_10";"T4323_11";"T4323_12";"T4323_13";"T4323_14";"T4323_15";"T4323_16";"T4324_1";"T4324_2";"T4324_3";"T4324_4";"T4324_5";"T4324_6";"T4324_7";"T4324_8";"T4325_1";"T4326_1";"T4326_2";"T4326_3";"T4326_4";"T4326_5";"T4326_6";"T4326_7";"T4326_8";"T4326_9";"T4327_1";"T4327_2";"T4327_3";"T4327_4";"T4327_5";"T4327_6";"T4327_7";"T4327_8";"T4327_9";"T4327_10";"T4327_11";"T4327_12";"T4327_13";"T4328_1";"T4328_2";"T4328_3";"T4328_4";"T4328_5";"T4328_6";"T4328_7";"T4329_1";"T4329_2";"T4329_3";"T4329_4";"T4329_5";"T4329_6";"T4329_7";"T4329_8";"T4330_1";"T4331_1";"T4332_1";"T4332_2";"T4332_3";"T4332_4";"T4332_5";"T4332_6";"T4333_1";"T4333_2";"T4333_3";"T4333_4";"T4333_5";"T4333_6";"T4333_7";"T4333_8";"T4333_9";"T4333_10";"T4334_1";"T4334_2";"T4334_3";"T4334_4";"T4334_5";"T4334_6";"T4334_7";"T4334_8";"T4334_9";"T4334_10";"T4334_11";"T4334_12";"T4334_13";"T4334_14";"T4334_15";"T4335_1";"T4335_2";"T4335_3";"T4335_4";"T4335_5";"T4335_6";"T4336_1";"T4336_2";"T4337_1";"T4337_2";"T4337_3";"T4337_4";"T4338_1";"T4338_2";"T4338_3";"T4338_4";"T4338_5";"T4338_6";"T4338_7";"T4338_8";"T4338_9";"T4338_10";"T4338_11";"T4338_12";"T4338_13";"T4338_14";"T4338_15";"T4338_16";"T4338_17";"T4338_18";"T4338_19";"T4338_20";"T4338_21";"T4338_22";"T4338_23";"T4338_24";"T4338_25";"T4338_26";"T4338_27";"T4338_28";"T4338_29";"T4338_30";"T4339_1";"T4339_2";"T4339_3";"T4339_4";"T4339_5";"T4339_6";"T4339_7";"T4339_8";"T4339_9";"T4339_10";"T4339_11";"T4339_12";"T4339_13";"T4339_14";"T4339_15";"T4339_16";"T4339_17";"T4339_18";"T4339_19";"T4339_20";"T4339_21";"T4339_22";"T4339_23";"T4339_24";"T4339_25";"T4339_26";"T4339_27";"T4339_28";"T4339_29";"T4339_30";"T4339_31";"T4339_32";"T4339_33";"T4339_34";"T4340_1";"T4340_2";"T4340_3";"T4340_4";"T4340_5";"T4340_6";"T4340_7";"T4340_8";"T4340_9";"T4340_10";"T4340_11";"T4340_12";"T4340_13";"T4341_1";"T4341_2";"T4341_3";"T4341_4";"T4341_5";"T4341_6";"T4341_7";"T4341_8";"T4341_9";"T4341_10";"T4341_11";"T4341_12";"T4341_13";"T4341_14";"T4341_15";"T4341_16";"T4341_17";"T4341_18";"T4341_19";"T4341_20";"T4341_21";"T4341_22";"T4341_23";"T4342_1";"T4342_2";"T4342_3";"T4342_4";"T4342_5";"T4342_6";"T4342_7";"T4342_8";"T4342_9";"T4342_10";"T4342_11";"T4342_12";"T4342_13";"T4342_14";"T4342_15";"T4342_16";"T4342_17";"T4342_18";"T4342_19";"T4342_20";"T4342_21";"T4342_22";"T4342_23";"T4342_24";"T4342_25";"T4343_1";"T4343_2";"T4343_3";"T4343_4";"T4343_5";"T4343_6";"T4343_7";"T4343_8";"T4343_9";"T4343_10";"T4343_11";"T4343_12";"T4343_13";"T4343_14";"T4343_15";"T4343_16";"T4343_17";"T4343_18";"T4343_19";"T4343_20";"T4343_21";"T4343_22";"T4343_23";"T4343_24";"T4343_25";"T4344_1";"T4344_2";"T4344_3";"T4344_4";"T4344_5";"T4344_6";"T4344_7";"T4344_8";"T4344_9";"T4344_10";"T4344_11";"T4344_12";"T4344_13";"T4344_14";"T4344_15";"T4345_1";"T4345_2";"T4345_3";"T4345_4";"T4345_5";"T4345_6";"T4345_7";"T4345_8";"T4345_9";"T4345_10";"T4345_11";"T4345_12";"T4345_13";"T4346_1";"T4346_2";"T4346_3";"T4346_4";"T4346_5";"T4346_6";"T4346_7";"T4346_8";"T4346_9";"T4346_10";"T4347_1";"T4348_1";"T4348_2";"T4348_3";"T4348_4";"T4348_5";"T4348_6";"T4348_7";"T4348_8";"T4348_9";"T4348_10";"T4348_11";"T4348_12";"T4348_13";"T4348_14";"T4349_1";"T4350_1";"T4350_2";"T4350_3";"T4350_4";"T4350_5";"T4350_6";"T4350_7";"T4350_8";"T4350_9";"T4350_10";"T4350_11";"T4350_12";"T4350_13";"T4350_14";"T4350_15";"T4351_1";"T4351_2";"T4351_3";"T4351_4";"T4351_5";"T4351_6";"T4351_7";"T4351_8";"T4351_9";"T4351_10";"T4352_1";"T4352_2";"T4352_3";"T4352_4";"T4352_5";"T4352_6";"T4352_7";"T4352_8";"T4352_9";"T4352_10";"T4352_11";"T4352_12";"T4352_13";"T4352_14";"T4352_15";"T4353_1";"T4353_2";"T4353_3";"T4353_4";"T4353_5";"T4353_6";"T4353_7";"T4353_8";"T4353_9";"T4353_10";"T4353_11";"T4353_12";"T4353_13";"T4353_14";"T4353_15";"T4354_1";"T4354_2";"T4355_1";"T4356_1";"T4357_1";"T4357_2";"T4357_3";"T4358_1";"T4359_1";"T4359_2";"T4360_1";"T4361_1";"T4361_2";"T4361_3";"T4362_1";"T4363_1";"T4364_1";"T4364_2";"T4364_3";"T4365_1";"T4365_2";"T4365_3";"T4365_4";"T4365_5";"T4365_6";"T4365_7";"T4365_8";"T4365_9";"T4365_10";"T4366_1";"T4366_2";"T4366_3";"T4366_4";"T4366_5";"T4366_6";"T4366_7";"T4366_8";"T4366_9";"T4366_10";"T4367_1";"T4368_1";"T4368_2";"T4368_3";"T4369_1";"T4370_1";"T4370_2";"T4370_3";"T4370_4";"T4371_1";"T4372_1";"T4373_1";"T4374_1";"T4375_1";"T4375_2";"T4376_1";"T4377_1";"T4378_1";"T4379_1";"T4380_1";"T4381_1";"T4382_1";"T4383_1";"T4384_1";"T4385_1";"T4385_2";"T4385_3";"T4386_1";"T4387_1";"T4387_2";"T4388_1";"T4388_2";"T4388_3";"T4388_4";"T4388_5";"T4389_1";"T4389_2";"T4389_3";"T4389_4";"T4389_5";"T4389_6";"T4389_7";"T4389_8";"T4389_9";"T4390_1";"T4390_2";"T4390_3";"T4390_4";"T4390_5";"T4390_6";"T4390_7";"T4390_8";"T4390_9";"T4390_10";"T4390_11";"T4390_12";"T4391_1";"T4391_2";"T4391_3";"T4391_4";"T4392_1";"T4393_1";"T4393_2";"T4393_3";"T4393_4";"T4393_5";"T4393_6";"T4393_7";"T4393_8";"T4393_9";"T4393_10";"T4393_11";"T4393_12";"T4393_13";"T4393_14";"T4393_15";"T4394_1";"T4395_1";"T4395_2";"T4395_3";"T4395_4";"T4395_5";"T4395_6";"T4396_1";"T4396_2";"T4396_3";"T4396_4";"T4396_5";"T4397_1";"T4397_2";"T4397_3";"T4397_4";"T4397_5";"T4397_6";"T4397_7";"T4398_1";"T4399_1";"T4399_2";"T4399_3";"T4399_4";"T4399_5";"T4399_6";"T4399_7";"T4399_8";"T4399_9";"T4399_10";"T4399_11";"T4399_12";"T4399_13";"T4399_14";"T4399_15";"T4399_16";"T4399_17";"T4399_18";"T4399_19";"T4399_20";"T4400_1";"T4400_2";"T4400_3";"T4400_4";"T4400_5";"T4400_6";"T4401_1";"T4402_1";"T4402_2";"T4402_3";"T4402_4";"T4402_5";"T4403_1";"T4403_2";"T4403_3";"T4403_4";"T4403_5";"T4404_1";"T4404_2";"T4404_3";"T4404_4";"T4404_5";"T4404_6";"T4404_7";"T4404_8";"T4404_9";"T4404_10";"T4404_11";"T4404_12";"T4404_13";"T4404_14";"T4405_1";"T4405_2";"T4405_3";"T4405_4";"T4405_5";"T4405_6";"T4405_7";"T4405_8";"T4405_9";"T4406_1";"T4406_2";"T4406_3";"T4406_4";"T4406_5";"T4406_6";"T4406_7";"T4407_1";"T4407_2";"T4407_3";"T4407_4";"T4407_5";"T4407_6";"T4407_7";"T4407_8";"T4407_9";"T4407_10";"T4407_11";"T4407_12";"T4408_1";"T4408_2";"T4408_3";"T4408_4";"T4408_5";"T4408_6";"T4408_7";"T4408_8";"T4408_9";"T4408_10";"T4408_11";"T4408_12"
"Adonis pyrenaica Dc.";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Helleborus viridis L.";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Primula elatior (L.) Hill";"2";;;;;;;;;;;;;;;;"+";".";".";"+";".";"+";".";"+";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";"+";"+";".";".";"+";".";".";"1";".";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Festuca scoparia";"2";;;;;;;;;;;;;;;;".";".";".";".";"+";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"1";"+";"+";".";".";".";".";".";".";".";"+";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";"1";"+";"+";".";".";;"+";".";".";".";".";".";".";".";".";"+";"+";"1";"+";".";".";".";".";".";".";".";".";".";;;;;;;;".";"1";".";".";".";".";"+";".";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gagea liotardi";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Poa alpina L.";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"+";".";;".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";".";"1";".";"+";".";".";"+";"+";"1";".";"+";".";".";".";"1";".";"3";"1";".";"2";;;;;;;;".";"+";"+";".";"+";".";"+";"1";"+";".";".";".";;"1";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"+";"+";"+";".";"1";".";".";;"+";".";".";"+";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ranunculus aduncus Gren.";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hepatica triloba";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";".";".";".";"1";".";".";".";".";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";"1";;;;".";".";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";".";".";"2";"+";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";".";".";".";".";".";".";".";"+";".";".";"+";".";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Eryngium bourgatii Gouan";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Arenaria grandiflora L.";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";"+";".";"+";"+";"+";".";"+";"+";"1";".";"1";"1";"1";"+";"+";"2";"+";"+";"+";"+";;".";"+";"+";".";".";".";".";".";".";"+";"1";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";"+";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";"+";".";".";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;".";"+";".";".";".";".";".";;;;;;;;;;"+";"+";".";".";".";"+";".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
