;"strsplit(filename, ""\\."")[[1]][1]";header
1;T0406;406
2;T0406;GEHU J.M.
3;T0406;1961
4;T0406;Les groupements v‚g‚taux du bassin de la Sambre fran‡aise.- Vegetatio, 10.
5;T0406;Carpinion
6;T0406;Querco-Carpinetum primuletosum var … Mercurialis perennis
7;T0406;XXXII 1-8
8;T0406;A/D G.Roux 1994
9;T0407;407
10;T0407;GEHU J.M.
11;T0407;1961
12;T0407;Les groupements v‚g‚taux du bassin de la Sambre fran‡aise.- Vegetatio, 10.
13;T0407;Carpinion
14;T0407;Querco-Carpinetum corydaletosum
15;T0407;XXXIII 1-4
16;T0407;A/D G.Roux 1994
17;T0408;408
18;T0408;GEHU J.M.
19;T0408;Les groupements v‚g‚taux du bassin de la Sambre fran‡aise.- Vegetatio, 10.
20;T0408;Carpinion
21;T0408;Querco-Carpinetum endymietosum
22;T0408;XXXIV 1-13
23;T0408;A/D G.Roux 1994
24;T0409;409
25;T0409;GEHU J.M.
26;T0409;1961
27;T0409;Les groupements v‚g‚taux du bassin de la Sambre fran‡aise.- Vegetatio, X, 5-6: 257-372.
28;T0409;Querceto-Carpinetum asperuletosum
29;T0409;XXXVI 1-30
30;T0409;30 relev‚s
31;T0409;Corr. & A/D G.Roux 1995
32;T0410;410
33;T0410;DUVIGNEAUD J.
34;T0410;1959
35;T0410;La forˆt alluviale du Mont Dieu (Ardennes).- Vegetatio
36;T0410;Querco-Carpinetum stachyetosum
37;T0410;III 1-9
38;T0410;9 relev‚s
39;T0410;Ajouts A/D et corrections G.Roux
40;T0411;411
41;T0411; 14 relev‚s
42;T0411; 77 esp‚ces
43;T0412;412
44;T0412; 19 relev‚s
45;T0412;120 esp‚ces
46;T0413;413
47;T0413; 13 relev‚s
48;T0413; 90 esp‚ces
49;T0414;414
50;T0414; 32 relev‚s
51;T0414;107 esp‚ces
52;T0415;415
53;T0415;RICHARD J.L.
54;T0415;1968
55;T0415;Sorbo-Aceretum
56;T0415;I 5-19
57;T0415;15 relev‚s
58;T0415;Corr. & A/D G.Roux 1995
59;T0416;416
60;T0416;FRILEUX P.N.
61;T0416;1977
62;T0416;Fraxino-Carpinion neutro-basophile
63;T0416;XXXV 1-19
64;T0416;19 relev‚s
65;T0416;A/D par G.Roux 1994
66;T0417;417
67;T0417; 52 relev‚s
68;T0417;143 esp‚ces
69;T0418;418
70;T0418;FRILEUX P.N.
71;T0418;1977
72;T0418;Fraxino-Carpinion
73;T0418;XXXIV 1-24
74;T0418;24 relev‚s
75;T0418;A/D par G.Roux 1994
76;T0419;419
77;T0419;VANDEN BERGHEN C.
78;T0419;1953
