"";"strsplit(filename, ""\\."")[[1]][1]";"header"
"1";"T4105";"4105"
"2";"T4105";"X"
"3";"T4105";"BEN DAANOUN M."
"4";"T4105";"1981"
"5";"T4105";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. - These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"6";"T4105";"X"
"7";"T4105";"Groupmt a Juncus maritimus,Juncus subulatus et Aeluropus litoralis."
"8";"T4105";"XVIII"
"9";"T4105";"12"
"10";"T4105";"X"
"11";"T4105";"7 M‚diterran‚en"
"12";"T4105";"29 Maroc"
"13";"T4105";"48 Groupements halophiles"
"14";"T4105";"Bouabdallah"
"15";"T4106";"4106"
"16";"T4106";"X"
"17";"T4106";"BEN DAANOUN M."
"18";"T4106";"1981"
"19";"T4106";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. - These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"20";"T4106";"X"
"21";"T4106";"Groupmt a Cynodon dactylon et Juncus maritimus."
"22";"T4106";"XIX"
"23";"T4106";"10"
"24";"T4106";"X"
"25";"T4106";"7 M‚diterran‚en"
"26";"T4106";"29 Maroc"
"27";"T4106";"48 Groupements halophiles"
"28";"T4106";"Bouabdallah"
"29";"T4107";"4107"
"30";"T4107";"X"
"31";"T4107";"BEN DAANOUN M."
"32";"T4107";"1981"
"33";"T4107";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"34";"T4107";"X"
"35";"T4107";"Groupmt a Cynodon dactylon et Juncus maritimus."
"36";"T4107";"XIX"
"37";"T4107";"8"
"38";"T4107";"X"
"39";"T4107";"7 M‚diterran‚en"
"40";"T4107";"29 Maroc"
"41";"T4107";"48 Groupements halophiles"
"42";"T4107";"Bouabdallah"
"43";"T4108";"4108"
"44";"T4108";"X"
"45";"T4108";"BEN DAANOUN M."
"46";"T4108";"1981"
"47";"T4108";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. - These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"48";"T4108";"X"
"49";"T4108";"Groupmt a Tamarix gallica. ss.gpmt a Tamarix gallica et Salicornia herbacea."
"50";"T4108";"XX"
"51";"T4108";"6"
"52";"T4108";"X"
"53";"T4108";"7 M‚diterran‚en"
"54";"T4108";"29 Maroc"
"55";"T4108";"48 Groupements halophiles"
"56";"T4108";"Bouabdallah"
"57";"T4109";"4109"
"58";"T4109";"X"
"59";"T4109";"BEN DAANOUN M."
"60";"T4109";"1981"
"61";"T4109";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. - These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"62";"T4109";"X"
"63";"T4109";"Groupmt a Tamarix gallica ss.gpmt a Tamarix gallica et Phragmites communis."
"64";"T4109";"XX"
"65";"T4109";"6"
"66";"T4109";"X"
"67";"T4109";"7 M‚diterran‚en"
"68";"T4109";"29 Maroc"
"69";"T4109";"48 Groupements halophiles"
"70";"T4109";"Bouabdallah"
"71";"T4110";"4110"
"72";"T4110";"X"
"73";"T4110";"BEN DAANOUN M."
"74";"T4110";"1981"
"75";"T4110";"ETUDE SYNECOLOGIQUE ET SYNDYNAMIQUE DE LA VEGETATION HALOPHILE ET HYGRO-HALOPHILE DE L'ESTUAIRE DU BOU-REGREG (LITTORAL ATLANTIQUE DU MAROC). APPLICATIONS ET PERSPECTIVES D'AMENAGEMENT. - These Doct. Ingen. Univ. droit, econom. et sci. Aix-Marseille."
"76";"T4110";"X"
"77";"T4110";"Groupmt a Tamarix gallica ss.gpmt a Tamarix gallica et Juncus maritimus."
"78";"T4110";"XX"
"79";"T4110";"8"
"80";"T4110";"X"
"81";"T4110";"7 M‚diterran‚en"
"82";"T4110";"29 Maroc"
"83";"T4110";"48 Groupements halophiles"
"84";"T4110";"Bouabdallah"
"85";"T4111";"4111"
"86";"T4111";"X"
"87";"T4111";"CELLES J.C."
"88";"T4111";"1975"
"89";"T4111";"CONTRIBUTION A L'ETUDE DE LA VEGETATION DES CONFINS SAHARO CONSTANTINOIS (ALGERIE). - These Doctorat Etat. Universite de Nice."
"90";"T4111";"X"
"91";"T4111";"Groupe D1"
"92";"T4111";"X"
"93";"T4111";"V"
"94";"T4111";"7"
"95";"T4111";"X"
"96";"T4111";"7 M‚diterran‚en"
"97";"T4111";"13 Alg‚rie"
"98";"T4111";"48 Groupements halophiles"
"99";"T4111";"Bouabdallah"
"100";"T4112";"4112"
"101";"T4112";"X"
"102";"T4112";"CELLES J.C."
"103";"T4112";"1975"
"104";"T4112";"CONTRIBUTION A L'ETUDE DE LA VEGETATION DES CONFINS SAHARO CONSTANTINOIS. (ALGERIE) - These Doctorat Etat. Universite de Nice."
"105";"T4112";"X"
"106";"T4112";"Groupe D2"
"107";"T4112";"IV"
"108";"T4112";"23"
"109";"T4112";"X"
"110";"T4112";"7 M‚diterran‚en"
"111";"T4112";"13 Alg‚rie"
"112";"T4112";"48 Groupements halophiles"
"113";"T4112";"Bouabdallah"
"114";"T4113";"4113"
"115";"T4113";"X"
"116";"T4113";"CELLES J.C."
"117";"T4113";"1975"
"118";"T4113";"CONTRIBUTION A L'ETUDE DE LA VEGETATION DES CONFINS SAHARO CONSTANTINOIS. (ALGERIE). - These Doctorat Etat. Universite de Nice."
"119";"T4113";"X"
"120";"T4113";"Groupe D3"
"121";"T4113";"IV"
"122";"T4113";"14"
"123";"T4113";"X"
"124";"T4113";"7 M‚diterran‚en"
"125";"T4113";"13 Alg‚rie"
"126";"T4113";"48 Groupements halophiles"
"127";"T4113";"Bouabdallah"
"128";"T4114";"4114"
"129";"T4114";"X"
"130";"T4114";"CELLES J.C."
"131";"T4114";"1975"
"132";"T4114";"CONTRIBUTION A L'ETUDE DE LA VEGETATION DES CONFINS SAHARO CONSTANTINOIS. (ALGERIE).. - These Doctorat Etat. Universite de Nice."
"133";"T4114";"X"
"134";"T4114";"Groupe E1"
"135";"T4114";"VI"
"136";"T4114";"10"
"137";"T4114";"X"
"138";"T4114";"7 M‚diterran‚en"
"139";"T4114";"13 Alg‚rie"
"140";"T4114";"48 Groupements halophiles"
"141";"T4114";"Bouabdallah"
"142";"T4115";"4115"
"143";"T4115";"X"
"144";"T4115";"CELLES J.C."
"145";"T4115";"1975"
"146";"T4115";"CONTRIBUTION A L'ETUDE DE LA VEGETATION DES CONFINS SAHARO CONSTANTINOIS. (ALGERIE). - These Doctorat Etat. Universite de Nice."
"147";"T4115";"X"
"148";"T4115";"Groupe E2"
"149";"T4115";"VI"
"150";"T4115";"10"
"151";"T4115";"X"
"152";"T4115";"7 M‚diterran‚en"
"153";"T4115";"13 Alg‚rie"
"154";"T4115";"48 Groupements halophiles"
"155";"T4115";"Bouabdallah"
"156";"T4117";"4117"
"157";"T4117";"X"
"158";"T4117";"SCHMITT, A. & RAMEAU, J.-C."
"159";"T4117";"1983"
"160";"T4117";"LES GROUPEMENTS D'OURLETS FORESTIERS DES TRIFOLIO-GERANIETEA EN FORET DOMANIALE DE FONTAINEBLEAU (SEINE ET MARNE, FRANCE).- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 115-136."
"161";"T4117";"Teucrion scorodoniae"
"162";"T4117";"Ass. … Holcus mollis et Teucrium scorodonia Philippi 71."
"163";"T4117";"IV"
"164";"T4117";"9"
"165";"T4117";"11 … 19"
"166";"T4117";"Planitiaire"
"167";"T4117";"France"
"168";"T4117";"Ourlets de forˆts acidiphiles"
"169";"T4117";"Richard M."
"170";"T4118";"4118"
"171";"T4118";"X"
"172";"T4118";"DE FOUCAULT, B. & FRILEUX, P.-N."
"173";"T4118";"1983"
"174";"T4118";"PREMIERES DONNEES PHYTOSOCIOLOGIQUES SUR LA VEGETATION DES OURLETS PREFORESTIERS DU NORD-OUEST ET DU NORD DE LA FRANCE.- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 305-324."
"175";"T4118";"Teucrion scorodoniae"
"176";"T4118";"Potentillo sterilis-Conopodietum majoris ass.nov."
"177";"T4118";"I"
"178";"T4118";"32"
"179";"T4118";"X"
"180";"T4118";"Planitiaire"
"181";"T4118";"France"
"182";"T4118";"Ourlet acidiphile"
"183";"T4118";"Richard M."
"184";"T4119";"4119"
"185";"T4119";"X"
"186";"T4119";"DE FOUCAULT, B. & FRILEUX, P.-N."
"187";"T4119";"1983"
"188";"T4119";"PREMIERES DONNEES PHYTOSOCIOLOGIQUES SUR LA VEGETATION DES OURLETS PREFORESTIERS DU NORD-OUEST ET DU NORD DE LA FRANCE.- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 305-324."
"189";"T4119";"Teucrion scorodoniae"
"190";"T4119";"Hyperico pulchri-Melampiretum pratensis ass.nov."
"191";"T4119";"II"
"192";"T4119";"38"
"193";"T4119";"1 … 19, 21 … 39"
"194";"T4119";"Planitiaire"
"195";"T4119";"France"
"196";"T4119";"Ourlet acidiphile"
"197";"T4119";"Richard M."
"198";"T4120";"4120"
"199";"T4120";"DE FOUCAULT, B. & FRILEUX, P.-N."
"200";"T4120";"1983"
"201";"T4120";"PREMIERES DONNEES PHYTOSOCIOLOGIQUES SUR LA VEGETATION DES OURLETS PREFORESTIERS DU NORD-OUEST ET DU NORD DE LA FRANCE.- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 305-324."
"202";"T4120";"Teucrion scorodoniae"
"203";"T4120";"Teucrio scorodoniae-Sedetum telephii ass.nov."
"204";"T4120";"VII"
"205";"T4120";"26"
"206";"T4120";"X"
"207";"T4120";"Planitiaire"
"208";"T4120";"France"
"209";"T4120";"Ourlet acidiphile"
"210";"T4120";"Richard M."
"211";"T4121";"4121"
"212";"T4121";"DE FOUCAULT, B. & FRILEUX, P.-N."
"213";"T4121";"1983"
"214";"T4121";"PREMIERES DONNEES PHYTOSOCIOLOGIQUES SUR LA VEGETATION DES OURLETS PREFORESTIERS DU NORD-OUEST ET DU NORD DE LA FRANCE.- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 305-324."
"215";"T4121";"Teucrion scorodoniae"
"216";"T4121";"Sileno nutantis-Senecietum adonidifolii ass.nov."
"217";"T4121";"IX"
"218";"T4121";"17"
"219";"T4121";"X"
"220";"T4121";"Montagnard"
"221";"T4121";"France"
"222";"T4121";"Ourlet acidiphile"
"223";"T4121";"Richard M."
"224";"T4122";"4122"
"225";"T4122";"X"
"226";"T4122";"DE FOUCAULT, B. & FRILEUX, P.-N., DELPECH, R."
"227";"T4122";"1983"
"228";"T4122";"APERCU PHYTOSOCIOLOGIQUE SUR LES OURLETS PREFORESTIERS DE LA BRENNE (INDRE, FRANCE).- Coll.Phyt., VIII: Les lisiŠres forestiŠres. Lille, 1979: 325-330."
"229";"T4122";"Teucrion scorodoniae"
"230";"T4122";"Peucedano gallici-Pulmonarietum longifoliae ass.nov."
"231";"T4122";"I"
"232";"T4122";"12"
"233";"T4122";"X"
"234";"T4122";"Planitiaire"
"235";"T4122";"France"
"236";"T4122";"Ourlet acidiphile"
"237";"T4122";"Richard M."
"238";"T4123";"4123"
"239";"T4123";"X"
"240";"T4123";"CLEMENT, B., CLOAGUEN, J.-C. & TOUFFET, J."
"241";"T4123";"1975"
"242";"T4123";"CONTRIBUTION A L'ETUDE PHYTOSOCIOLOGIQUE DES FORETS DE BRETAGNE.- Coll.Phyt., III: La v‚g‚tation des forˆts caducifoli‚es acidiphiles. Lille 1974: 53-72."
"243";"T4123";"Asperulo-Fagion"
"244";"T4123";"Rusco-Melico-Fagetum typicum"
"245";"T4123";"I"
"246";"T4123";"31"
"247";"T4123";"X"
"248";"T4123";"Planitiaire"
"249";"T4123";"France"
"250";"T4123";"Chˆnaie-Hˆtraie acidiphile"
"251";"T4123";"Richard M."
"252";"T4124";"4124"
"253";"T4124";"X"
"254";"T4124";"CLEMENT, B., CLOAGUEN, J.-C. & TOUFFET, J."
"255";"T4124";"1975"
"256";"T4124";"CONTRIBUTION A L'ETUDE PHYTOSOCIOLOGIQUE DES FORETS DE BRETAGNE.- Coll.Phyt., III: La v‚g‚tation des forˆts caducifoli‚es acidiphiles. Lille 1974: 53-72."
"257";"T4124";"Quercion robori-petraeae"
"258";"T4124";"Vaccinio-Querctum sessiliflorae typicum"
"259";"T4124";"III"
"260";"T4124";"38"
"261";"T4124";"X"
"262";"T4124";"Planitiaire"
"263";"T4124";"France"
"264";"T4124";"Chˆnaie acidiphile"
"265";"T4124";"Richard M."
"266";"T4125";"4125"
"267";"T4125";"X"
"268";"T4125";"CLEMENT, B., CLOAGUEN, J.-C. & TOUFFET, J."
"269";"T4125";"1975"
"270";"T4125";"CONTRIBUTION A L'ETUDE PHYTOSOCIOLOGIQUE DES FORETS DE BRETAGNE.- Coll.Phyt., III: La v‚g‚tation des forˆts caducifoli‚es acidiphiles. Lille 1974: 53-72."
"271";"T4125";"Quercion roboro-petraeae"
"272";"T4125";"Molinio-Quercetum pedonculatae"
"273";"T4125";"V"
"274";"T4125";"14"
"275";"T4125";"X"
"276";"T4125";"Planitiaire"
"277";"T4125";"France"
"278";"T4125";"Chˆnaie acidiphile"
"279";"T4125";"Richard M."
"280";"T4126";"4126"
"281";"T4126";"X"
"282";"T4126";"LOSA QUINTANA, J.M."
"283";"T4126";"1975"
"284";"T4126";"ETUDE SOCIOLOGIQUE DES CHENAIES GALICIENNES. I- ASPECTS ECOLOGIQUES DU QUERCUS SUBER DANS LA PROVINCE DE PONTEVEDRA.- Coll.Phyt., III: La v‚g‚tation des forˆts caducifoli‚es acidiphiles. Lille 1975: 117-132."
"285";"T4126";"X"
"286";"T4126";"X"
"287";"T4126";"I"
"288";"T4126";"25"
"289";"T4126";"X"
"290";"T4126";"Planitiaire"
"291";"T4126";"Espagne"
"292";"T4126";"Chˆnaie acidiphile"
"293";"T4126";"Richard M."
"294";"T4127";"4127"
"295";"T4127";"X"
"296";"T4127";"GEHU, J.-M."
"297";"T4127";"1975"
"298";"T4127";"APERCU SUR LES CHENAIES-HETRAIES DU SUD DE L'ANGLETERRE, L'EXEMPLE DE LA NEW FOREST.- Coll.Phyt., III: La v‚g‚tation des forˆts caducifoli‚es acidiphiles. Lille 1974: 133-140."
"299";"T4127";"X"
"300";"T4127";"Rusco-Fagetum"
"301";"T4127";"I"
"302";"T4127";"27"
"303";"T4127";"X"
"304";"T4127";"Planitiaire"
"305";"T4127";"Angleterre"
"306";"T4127";"Chˆnaie-Hˆtraie acidiphile"
"307";"T4127";"Richard M."
"308";"T4128";"4128"
"309";"T4128";"X"
"310";"T4128";"BRAUN-BLANQUET J., SILVA A.R.PINTO DA & ROZEIRA A."
"311";"T4128";"1961"
"312";"T4128";"R‚sultats de trois excursions g‚obotaniques … travers le Portugal septentrional et moyen -III Landes … cistes et Ericac‚es(Cisto-Lavanduletea et Calluno-Ulicetea).- Agronomia Lusitania, XXIII, 4: 229-313."
"313";"T4128";"Ulici-Cistion"
"314";"T4128";"Cisto-Ulicetum humilis nov."
"315";"T4128";"7"
"316";"T4128";"XIII"
"317";"T4128";"1-7"
"318";"T4128";"Lande"
"319";"T4128";"M‚diterran‚en"
"320";"T4128";"Portugal"
"321";"T4128";"G.Roux"
"322";"T4129";"4129"
"323";"T4129";"DEBAZAC.E"
"324";"T4129";"1959"
"325";"T4129";"LA VEGETATION FORESTIERE DE KROUMIRIE.EXT.ANAL.DES EAUX ET FORETS DE LA RECH.ET EXP."
"326";"T4129";"GROUPEMENT A ALNUS GLUTINOSA"
"327";"T4129";"IV"
"328";"T4129";"8"
"329";"T4129";"MEDITERRANEEN"
"330";"T4129";"TUNISIE"
"331";"T4129";"RIPISYLVE"
"332";"T4129";"BENSETTITI.F"
"333";"T4130";"4130"
"334";"T4130";"BOLOS A. & O. DE"
"335";"T4130";"1950"
"336";"T4130";"VEGETATION DE LAS COMARCAS BARCELONESAS.INST.ESP.DE ESTUD.MEDIT."
"337";"T4130";"POPULETALIA ALBAE BR.-BL.1930."
"338";"T4130";"As de SALIX CATALAUNICA ET CAREX PENDULA."
"339";"T4130";"1"
"340";"T4130";"9"
"341";"T4130";"MEDITERRANEEN"
"342";"T4130";"ESPAGNE"
"343";"T4130";"RIPISYLVES"
"344";"T4130";"BENSETTITI.F corr. part. G.Roux 1994 "
"345";"T4131";"4131"
"346";"T4131";"F ET C.CORTIN,PEDROTTI"
"347";"T4131";"1978"
"348";"T4131";"NOTIZIE SULLA DISTRIBUZIONE DEL CARICI-FRAXINETUM ANGUSTIFOLIAE"
"349";"T4131";"LUNGO LA COSTA ADRIATICA(ITALIA CENTRO-MERIDIONALE).PUBL.DELL INST.BOT.UNI.CAMERINO.Nø122-137."
"350";"T4131";"As.CARICI-FRAXINETUM ANGUSTIFOLIUM."
"351";"T4131";"1"
"352";"T4131";"17"
"353";"T4131";"MEDITERRANEEN"
"354";"T4131";"ITALIE"
"355";"T4131";"RIPISYLVE"
"356";"T4131";"BENSETTITI.F"
"357";"T4132";"4132"
"358";"T4132";"MALATO BELIZ,J"
"359";"T4132";"1986"
"360";"T4132";"O BARROCAL ALGARVIO FLORA E VEGETACAO DA AMENDOCIRA.COLECAO SARQUES NATURAIS Nø17."
"361";"T4132";"V"
"362";"T4132";"POPULETALIA ALBAE Br-Bl.1931."
"363";"T4132";"V"
"364";"T4132";"3"
"365";"T4132";"MEDITERRANEEN"
"366";"T4132";"PORTUGALE"
"367";"T4132";"RIPISYLVES"
"368";"T4132";"BENSETTITI.F"
"369";"T4133";"4133"
"370";"T4133";"LOISEL R."
"371";"T4133";"1976"
"372";"T4133";"LA VEGETATION DE L'ETAGE MEDITERRANEEN DANS LE SUD-EST CONTINENTAL FRANCAIS."
"373";"T4133";"THESE DOCT ES SCIENCES UNI.AIX-MARSEILLE III."
"374";"T4133";"POPULETUM ALBAE"
"375";"T4133";"LXXII 1-25"
"376";"T4133";"25"
"377";"T4133";"MEDITERRANEEN"
"378";"T4133";"FRANCE"
"379";"T4133";"REPISYLVES"
"380";"T4133";"BENSETTITI.F"
"381";"T4134";"4134"
"382";"T4134";"LOISEL R."
"383";"T4134";"1976"
"384";"T4134";"LA VEGETATION DE L'ETAGE MEDITERRANEEN DANS LE SUD-EST CONTINENTAL FRANCAIS."
"385";"T4134";"THESE DOCT ES SCIENCES UNI.AIX-MARSAILLE III."
"386";"T4134";"NERIAIE ET TAMARACAIE DU LITTORAL VAROIE."
"387";"T4134";"LXIX"
"388";"T4134";"10"
"389";"T4134";"MEDITERRANNEN"
"390";"T4134";"FRANCE"
"391";"T4134";"RIPISYLVES"
"392";"T4134";"BENSETTITI.F"
"393";"T4135";"4135"
"394";"T4135";"J.BECH ET A.M,HERNANDES"
"395";"T4135";"1976"
"396";"T4135";"ESTUDIOS SOBRE SUCLOS Y VEGETATION DEL DELTA DEL LLOBREGAT.COLL.BOTA.VOL X,Nø4 BARCELONA."
"397";"T4135";"VINCO-POPULETUM ALBAE ASTERETOSUM SQUAMATI."
"398";"T4135";"1"
"399";"T4135";"5"
"400";"T4135";"MEDITERRANEEN"
"401";"T4135";"ESPAGNE"
"402";"T4135";"RIPISYLVES"
"403";"T4135";"BENSETTITI.F"
"404";"T4136";"4136"
"405";"T4136";"PIRONE G."
"406";"T4136";"1983"
"407";"T4136";"LA VEGETAZIONE DEL LITORALE PESCARESE (ABRUZZO).NOT.DEL SOC.DI FITOSOCIOLGIA.Nø18."
"408";"T4136";"GROUPEMENT A Alnus glutinosa et Populus nigra."
"409";"T4136";"13"
"410";"T4136";"2"
"411";"T4136";"MEDITERRANEEN"
"412";"T4136";"ITALIE"
"413";"T4136";"RIPISYLVES"
"414";"T4136";"BENSETTITI.F"
"415";"T4137";"4137"
"416";"T4137";"PIRONE G."
"417";"T4137";"1981"
"418";"T4137";"OBSERVAZIONI PRELIMINARI SULLA VEGETAZIONE.NOT.FITOSOC.Nø17"
"419";"T4137";"POPULETUM ALBAE"
"420";"T4137";"2"
"421";"T4137";"3"
"422";"T4137";"MEDITERRANEEN"
"423";"T4137";"ITALIE"
"424";"T4137";"RIPISYLVES"
"425";"T4137";"BENSETTITI.F"
"426";"T4138";"4138"
"427";"T4138";"PIRONE G."
"428";"T4138";"1981"
"429";"T4138";"OBSERVAZIONE PRELIMINARI SULLA VEGETAZIONE.NOT.FITOSOCIO.Nø17"
"430";"T4138";"GROUPEMENT … SALIX ALBA"
"431";"T4138";"1"
"432";"T4138";"3"
"433";"T4138";"MEDITERRANEEN"
"434";"T4138";"ITALIE"
"435";"T4138";"RIPISYLVES"
"436";"T4138";"BENSETTITI.F"
"437";"T4139";"4139"
"438";"T4139";"M.R.CAVANI,F.SARTORI etR.ZUCCHETTI"
"439";"T4139";"1981"
"440";"T4139";"I BOSCHI PLANIZIALI DEL BASSO CORSO DELL'ADDA.NOT.FITOSOCIO.Nø17"
"441";"T4139";"GROUPEMENT … POPULUS ALBA"
"442";"T4139";"1"
"443";"T4139";"8"
"444";"T4139";"MEDITERRANEEN"
"445";"T4139";"ITALIE"
"446";"T4139";"RIPISYLVES"
"447";"T4139";"BENSETTITI.F"
"448";"T4140";"4140"
"449";"T4140";"C.FRANCALANCIA & E.ORSOMANDO."
"450";"T4140";"1980"
"451";"T4140";"LES FORETS RIVERAINES DE LA VALNERINA (ITALIE CENTRALE)"
"452";"T4140";"Colloque Phytosociologique IX.Les forˆts alluviales.Strasbourg"
"453";"T4140";"ALNO-ULMION"
"454";"T4140";"1"
"455";"T4140";"13"
"456";"T4140";"MEDITERRANEEN"
"457";"T4140";"ITALIE"
"458";"T4140";"RIPISYLVES"
"459";"T4140";"BENSETTITI.F"
"460";"T4141";"4141"
"461";"T4141";"NEGRE R."
"462";"T4141";"1950"
"463";"T4141";"Les associations végétales du Massif de la Sainte Victoire.- Encycl. Biogéo. Ecolo, VII"
"464";"T4141";"Populetum albae"
"465";"T4141";"IV"
"466";"T4141";"4"
"467";"T4141";"Méditerranéen"
"468";"T4141";"France"
"469";"T4141";"Ripisylves"
"470";"T4141";"Bensettiti.F"
"471";"T4142";"4142"
"472";"T4142";"MOLINIER R."
"473";"T4142";"1955"
"474";"T4142";"MONOGRAPHIE PHYTOSOCIOLOGIQUE.LA VEGETATION DES COLLINES DE VITRIOLLES ET DU PLATEAU D'ARBOIS.BUL.MUS.HIST.NAT.MARSEILLE.TXV."
"475";"T4142";"POPULETUM ALBAE"
"476";"T4142";"1"
"477";"T4142";"1"
"478";"T4142";"MEDITERRANEEN"
"479";"T4142";"FRANCE"
"480";"T4142";"RIPISYLVES"
"481";"T4142";"BENSETTITI.F"
"482";"T4143";"4143"
"483";"T4143";"LAPRAZ G."
"484";"T4143";"1966"
"485";"T4143";"RECHERCHES PHYTOSOCIOLOGIQUES EN CATALOGNE.les vestiges de la v‚g‚tation primitive des riviŠres et des ruisseaux"
"486";"T4143";"dans l'‚tage bioclimatique mditerranŠen sub-humide."
"487";"T4143";"POPULETUM ALBAE"
"488";"T4143";"1"
"489";"T4143";"4"
"490";"T4143";"MEDITERRANEEN"
"491";"T4143";"ESPAGNE"
"492";"T4143";"RIPISYLVES"
"493";"T4143";"BENSETTITI.F"
"494";"T4144";"4144"
"495";"T4144";"LAPRAZ G."
"496";"T4144";"1966"
"497";"T4144";"RECHERCHES PHYTOCILOGIQUES EN CATALOGNE.Les vestiges de la v‚g‚tation primitive des riviŠres"
"498";"T4144";"et des ruisseaux dans l'‚tage bioclimatique m‚diterran‚en sub-humide."
"499";"T4144";"Collectanea botanica vol.VI.fasc.IV.nø20."
"500";"T4144";"ALNETO-SALICETUM CATALAUNICAE ET LE CARICETO-SALICETUM CATALAUNICAE."
"501";"T4144";"2"
"502";"T4144";"8"
"503";"T4144";"MEDITERRANEEN"
"504";"T4144";"ESPAGNE"
"505";"T4144";"RIPISYLVES"
"506";"T4144";"BENSETTITI.F"
"507";"T4145";"4145"
"508";"T4145";"GIRAULT D.et TIMBAL"
"509";"T4145";"1980"
