	A	B	1	2	3	C	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	D	E	48	F	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	G	H	I	K
Acacia senegal A	0	0	0	0	0	0	0	0	0	0	10,81000042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,470000029	3,930000067	0	0	15,28999996	0,25	0	0	0	0	6,28000021	11,14000034	0	0	0	0	0	0	0	0	5,349999905	0	0	0	0	0,310000002	0	0	0	0	0	0	7,210000038	5,449999809	0,99000001	18,22999954	0	11,93999958	5,880000114	7,159999847	0	16,06999969	11,71000004	13,11999989	0	0	0	0
Acacia senegal J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	1	3	1	5	11	0	0	1	0	0	3	0	0	0	1	1	0	0	0
Acacia hockii A	0	0	6,289999962	0	3,130000114	0	1,909999967	0,007	6,30700016	1,850000024	2,859999895	0	0	0	0	0	0	0	0	0	0	0	0	1,080000043	0	0	1,080000043	0	0	0	6,313000202	0	0,860000014	0	1,889999986	0	9,539999962	0	0	6,150000095	0	0	0	0	0,709999979	0	0	0	1,039999962	0	0	0	0,920000017	0	0	8	0,75999999	2,869999886	0	2,319999933	0,310000002	2,859999895	0	0	0,870000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia hockii J	0	0	16	4	29	0	6	33	33	5	14	0	0	0	5	1	0	0	5	7	0	14	0	1	0	1	8	0	58	25	28	1	24	9	1	4	20	9	61	92	6	0	0	0	27	0	9	8	0	1	0	0	51	0	22	192	47	36	6	46	49	76	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia gerrardii A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,546999931	1,75999999	2,200000048	0	9,460000038	0	3,900000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia gerrardii J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	6	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia polyacantha A	23,01000023	36,83000183	0	2,160000086	0	64,43000031	0	0,670000017	0	3,900000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia sieberana A	14,60000038	0	0	0	0	0	3,470000029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,28999996	0	0	0	0	0	0	0	1,690000057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,709999979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia sieberana J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia brevispica A	0	0	0	0	0	0	0	0	0	0	0	6	5,099999905	7	0	0	12	1	2	0	12,80000019	2	16,79999924	4,599999905	0	10,5	1,5	0	0	0	0	1	0	1	0	0	1,200000048	0	0	3,799999952	5	12,5	1,600000024	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3,599999905	0	0	1,399999976	0	2,400000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acacia brevispica J	0	0	0	0	0	0	0	0	0	0	0	48	38	17	0	2	4	7	2	0	10	4	40	0	0	16	4	0	0	0	0	23	0	5	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichrostachys cinerea A	0	0	0	0	0	0	0	0	0	0	0	0,27700001	0	0,933000028	0	0,007	0,862999976	4,71600008	0	0	0,602999985	0,129999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,109999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichrostachys cinerea J	0	0	24	6	25	0	268	113	28	11	27	1	4	6	36	0	30	34	33	22	19	32	29	28	19	16	2	10	7	3	1	18	15	1	15	1	10	21	18	26	11	91	38	57	37	9	4	8	1	4	0	0	0	0	9	2	17	38	8	5	25	52	0	52	110	129	101	127	49	18	84	16	4	25	13	1	0	0	0	0
Albizia amara A	0	0	0	0	0	0	14,92000008	0	0	13,25	0	0	0	0	0	8,449999809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albizia amara J	0	0	0	0	0	0	2	1	1	1	0	0	0	0	2	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ormocarpon trichocarpum A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,310000002	1	0	0	0	0	0	0	0,007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ormocarpon trichocarpum J	0	0	0	0	0	0	7	9	3	0	0	0	2	1	17	5	0	6	5	3	0	16	4	25	319	4	1	0	7	10	5	5	151	6	13	0	0	0	5	2	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	4	3	0	0	0	0	0	0	0	0	0
Ozoroa reticulata A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,470000029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,179999828	0	0	0	0	13,44999981	0	1
Ozoroa reticulata J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	2
Lannea humilis A	0	0	0	0	0	0	0,709999979	0	0	0	0	0,419999987	3,052999973	0,150000006	1,730000019	0	0	0	4,929999828	0	0	8,619999886	0,670000017	0	0	5,340000153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,49000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,289999962	1,980000019	1,980000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lannea humilis J	0	0	11	3	12	0	2	1	2	0	1	0	7	2	3	1	0	0	2	4	0	32	5	16	17	0	21	0	1	11	27	10	6	3	1	6	0	7	16	3	13	0	1	2	1	0	1	0	3	0	0	0	2	0	8	8	12	1	0	1	0	0	0	3	2	5	4	0	1	0	6	1	7	0	0	5	0	0	0	0
Lannea fulva A	0	0	0	0	0	0	0	0	0	0	0	4,53000021	0	1,289999962	0	0	0,007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,870000005	0	0	0	0	0	0	0	0,579999983	0	0	0	11,65999985	0	0	0	0	0	0	3,680000067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13,25
Rhus natalensis A	0	0	0	0	0	1,929999948	0	0	7,960000038	0	0	2,319999933	0	0	0	0	0	0	0	0	0	0	1,139999986	0	0	0	5,050000191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25,79000092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,150000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,77000046	0	0	1,860000014
